Pavarde Vardas  ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Kavaliauskas Titas 5 1 8 4 1 6 10 6 5 7 5
Kazlauskas Vilius 10 1 7 4 1 1 10 9 5 9 2
Kavaliauskas Martynas 10 2 6 6 4 7 5 10 6 1 6
ukauskas Ignas 6 7 3 6 1 9 8 9 1 5 5
Paulauskas Vilius 4 4 7 4 2 9 3 9 8 6 6
ukauskas Jonas 7 8 9 3 10 1 5 3 10 7 2
Šimkus Tomas 6 9 6 9 1 10 1 8 2 8 9
Vasiliauskas Dominykas 6 6 8 7 5 9 2 1 6 8 10
Jankauskas Arnas 2 9 3 6 5 9 5 10 2 6 9
Kavaliauskas Vilius 5 1 4 8 5 8 3 3 2 10 10
Paulauskas Dominykas 8 6 9 10 10 7 10 1 7 2 1
Jankauskas Jonas 8 9 6 3 10 7 8 6 10 8 4
Kazlauskas Kajus 8 4 4 1 4 7 8 10 9 7 9
Sadauskas Arnas 2 4 2 2 7 2 2 5 9 1 8
Noreika Paulius 10 3 1 9 5 4 4 10 2 8 8
Valantinas Kajus 9 7 6 7 1 6 4 5 7 10 10
Vasiliauskas Kajus 1 3 2 7 6 6 7 5 2 2 8
Grigaitis Adomas 10 6 2 5 4 5 8 9 9 8 3
Mikalauskas Benas 9 2 9 1 10 5 4 5 1 5 1
Giedraitis Laurynas 4 5 2 5 10 2 4 7 8 1 1
Kavaliauskas Ignas 3 8 9 7 5 4 7 2 2 7 9
ukauskas Adomas 6 10 2 9 3 10 4 8 8 3 4
Giedraitis Kajus 2 4 1 5 7 6 7 4 4 8 8
Kavaliauskas Dovydas 4 8 8 2 10 4 2 3 9 3 4
Vasiliauskas Jonas 10 10 8 9 10 9 7 1 3 10 9
Kazlauskas Rokas 7 7 3 10 5 9 6 3 5 1 3
Kavaliauskas Dominykas 3 2 1 3 1 1 6 3 10 10 8
?epas Kajus 10 10 2 7 9 3 10 9 3 2 10
Kairys Rokas 2 4 9 1 6 4 7 8 5 3 7
?epas Dominykas 1 1 6 8 7 7 7 2 9 3 7
Kazlauskas Benas 9 7 1 8 8 3 5 10 1 4 1
Grigaitis Nojus 2 1 1 6 4 8 10 3 8 6 4
Bacevi?ius Vilius 1 4 6 8 4 2 9 5 6 2 6
Vasiliauskas Jonas 9 5 10 4 8 5 7 2 2 1 9
Jankauskas Tomas 2 1 3 1 10 9 5 4 2 10 10
Petrauskas Adomas 6 4 1 2 3 3 2 2 7 4 1
Kairys Rokas 2 7 8 2 10 5 2 3 6 2 10
Kairys Laurynas 1 2 9 6 8 3 1 8 5 10 9
Valantinas Arnas 6 5 10 1 10 3 7 8 6 6 8
Giedraitis Jonas 2 6 3 5 7 10 4 9 4 7 10
Pocius Lukas 2 8 1 1 10 10 8 2 5 7 8
Maeika Adomas 10 7 8 10 2 9 1 3 1 2 10
Vasiliauskas Martynas 8 2 4 10 2 9 8 8 6 9 2
Stankevi?ius Nojus 1 9 4 4 6 8 10 4 8 6 1
Vasiliauskas Martynas 8 2 6 3 7 6 5 6 10 10 6
Sadauskas Nojus 4 5 5 7 4 7 7 7 1 2 9
Noreika Tomas 8 1 2 10 9 7 2 6 9 9 7
Pocius Vilius 3 10 10 2 8 7 3 2 1 3 3
Petrauskas Tomas 1 3 10 8 9 10 1 5 6 3 1
Grigaitis Nojus 2 6 1 3 9 1 7 9 4 3 5
Pocius Martynas 5 1 9 6 5 10 1 2 7 2 7
Vasiliauskas Dovydas 8 4 2 2 6 10 1 7 1 3 3
Kazlauskas Paulius 3 9 10 3 3 6 2 2 6 8 10
Bacevi?ius Dominykas 4 10 6 8 9 9 9 7 9 6 9
Giedraitis Arnas 9 1 5 5 1 9 7 2 7 9 5
Šimkus Paulius 4 1 10 3 6 2 3 2 8 2 10
Jankauskas Dovydas 2 10 2 3 1 5 5 2 9 6 9
Maeika Arnas 8 3 2 5 1 6 4 7 9 7 5
Valantinas Rokas 10 7 2 4 7 7 4 8 1 7 8
?epas Lukas 9 10 7 3 4 4 4 10 5 8 10
Petrauskas Benas 4 7 6 2 2 3 5 1 2 7 3
Giedraitis Mantas 3 8 2 6 5 9 10 10 9 9 1
Bacevi?ius Jonas 6 9 1 2 2 6 8 1 9 6 6
Kairys Arnas 2 6 7 9 6 9 6 3 3 4 2
Kavaliauskas Ignas 1 9 7 9 3 4 8 10 2 5 3
Sadauskas Arnas 7 10 9 7 7 10 4 5 4 3 7
Giedraitis Vilius 6 10 7 6 5 9 5 9 6 7 9
Šimkus Vilius 7 9 7 1 10 5 10 4 2 3 9
Sadauskas Deividas 3 10 3 3 3 5 3 4 2 7 6
Pocius Titas 4 6 3 3 7 3 7 6 7 10 9
ukauskas Titas 4 3 4 4 3 9 6 7 4 7 7
Petrauskas Tomas 5 4 4 10 9 1 2 4 6 1 4
Maeika Arnas 7 4 4 1 6 5 4 9 2 1 9
Paulauskas Benas 4 5 7 4 10 1 9 6 9 8 1
Bacevi?ius Tomas 3 6 8 1 6 4 10 7 2 4 7
Sadauskas Laurynas 8 7 1 10 10 5 7 5 1 2 3
Bacevi?ius Mantas 2 10 10 8 6 3 9 4 10 10 3
Kazlauskas Kajus 8 9 4 1 1 7 2 6 5 4 9
Kairys Adomas 3 6 4 4 1 3 9 3 5 10 8
Paulauskas Paulius 1 2 4 6 3 8 1 3 1 2 8
Pocius Lukas 9 1 6 4 3 8 5 3 5 8 1
Kavaliauskas Titas 4 7 10 9 5 10 8 3 9 3 1
Grigaitis Titas 5 6 4 9 5 7 9 9 8 4 4
?epas Lukas 2 2 6 2 5 7 6 4 4 7 9
Giedraitis Adomas 1 3 4 6 3 9 6 6 5 4 10
Kavaliauskas Martynas 5 8 4 8 2 7 6 4 3 4 8
Paulauskas Vilius 7 3 6 1 4 5 7 4 9 4 3
Vasiliauskas Jonas 4 9 10 8 10 10 10 2 9 2 6
Paulauskas Laurynas 3 5 2 9 4 2 7 2 2 2 8
ukauskas Adomas 6 7 4 1 2 9 5 7 4 9 1
Vasiliauskas Jonas 10 6 5 8 9 3 1 6 1 1 1
Stankevi?ius Vilius 10 8 9 8 9 10 6 10 1 10 2
Giedraitis Arnas 4 6 4 3 6 8 5 3 3 6 1
Paulauskas Martynas 10 6 8 4 8 8 6 5 1 9 10
Kairys Andrius 1 8 2 4 2 9 9 1 9 10 7
Jankauskas Arnas 2 2 2 10 10 8 5 2 2 7 6
Kairys Paulius 9 3 5 5 6 1 1 2 2 7 6
Kavaliauskas Jonas 3 10 2 2 7 7 10 9 5 3 3
Šimkus Kajus 10 1 3 4 7 5 5 4 1 2 4
Sadauskas Adomas 4 2 6 10 7 10 6 1 7 4 6
Kazlauskas Nojus 1 5 10 1 3 4 9 7 7 1 3
Kazlauskas Vilius 2 9 7 6 10 10 4 10 7 9 1
Pocius Vilius 1 6 2 4 8 2 1 10 4 8 8
Valantinas Adomas 8 10 5 3 4 10 8 7 7 5 3
Kavaliauskas Jonas 3 6 2 10 1 10 9 9 8 1 3
Stankevi?ius Jonas 3 3 6 8 1 5 10 4 5 2 8
Grigaitis Jonas 3 10 9 8 7 3 10 10 1 6 8
Bacevi?ius Benas 6 4 8 9 1 1 1 10 1 4 4
Vasiliauskas Jonas 8 7 8 5 3 2 2 7 2 4 7
Stankevi?ius Titas 7 3 4 8 4 4 2 5 2 4 9
Jankauskas Dominykas 4 1 5 9 5 6 7 5 2 9 1
Petrauskas Mantas 2 8 10 6 1 5 6 9 9 8 3
Giedraitis Tomas 7 10 4 4 1 9 5 7 3 4 5
Maeika Titas 6 4 8 3 8 3 9 4 3 2 6
Mikalauskas Laurynas 10 3 6 8 1 7 4 8 8 3 7
Valantinas Nojus 8 10 3 10 9 1 5 8 6 4 7
Mikalauskas Arnas 10 3 9 6 7 2 4 4 2 4 4
Kairys Jonas 5 5 7 8 10 2 6 5 2 4 5
Valantinas Kajus 8 9 9 3 10 3 3 3 6 9 6
Sadauskas Deividas 6 5 7 4 7 8 2 10 5 10 2
Šimkus Jonas 3 6 8 4 9 1 6 2 10 5 2
Grigaitis Titas 6 4 10 10 4 3 9 6 8 3 3
Grigaitis Jonas 9 5 4 4 2 7 9 6 4 4 8
Jankauskas Jonas 8 3 3 4 10 4 10 7 1 4 3
Giedraitis Kajus 2 7 4 8 2 5 4 6 1 4 5
Grigaitis Martynas 7 2 10 8 8 8 1 5 2 4 9
Giedraitis Lukas 1 8 1 6 9 8 4 7 8 10 4
Giedraitis Mantas 8 6 2 8 5 9 4 10 8 10 1
Kavaliauskas Dominykas 6 10 10 7 3 7 10 4 8 5 6
Kazlauskas Dovydas 6 4 2 6 9 4 6 4 6 6 3
?epas Dominykas 8 1 3 4 8 1 7 5 2 1 2
Giedraitis Martynas 1 4 8 4 2 5 10 9 1 6 8
Petrauskas Benas 1 2 8 6 10 1 1 2 9 1 10
Kavaliauskas Kajus 6 4 5 7 2 8 10 7 8 3 6
Sadauskas Jonas 7 9 6 10 5 6 8 7 10 4 6
Šimkus Tomas 5 5 9 9 6 4 6 2 10 1 2
ukauskas Paulius 10 1 9 9 3 1 9 1 1 8 4
Petrauskas Benas 3 2 1 5 6 5 2 6 3 5 5
Kazlauskas Rokas 9 4 5 4 10 3 4 4 4 8 7
Kairys Kajus 2 3 5 9 7 4 3 4 7 2 10
Kairys Benas 1 2 8 3 6 7 3 4 2 3 2
Bacevi?ius Martynas 1 10 2 5 1 2 5 9 1 9 6
Kavaliauskas Titas 4 7 3 2 2 5 9 2 6 9 10
Grigaitis Mantas 6 9 6 7 6 7 4 10 5 8 1
Grigaitis Dominykas 1 7 9 6 4 3 1 3 2 4 7
?epas Martynas 9 10 5 7 10 1 10 4 1 10 6
Paulauskas Vilius 10 10 4 10 9 2 2 4 10 3 8
Bacevi?ius Ignas 4 1 1 2 10 9 10 4 2 3 6
Jankauskas Laurynas 4 3 2 9 1 3 2 9 5 10 3
Valantinas Titas 10 2 6 2 5 1 4 9 4 1 1
Noreika Benas 5 4 2 9 8 9 6 6 5 9 6
Šimkus Paulius 10 2 6 1 6 10 10 2 4 5 6
Kavaliauskas Paulius 9 4 5 3 4 6 5 6 2 6 1
Kazlauskas Andrius 10 6 3 3 8 6 2 8 10 2 1
Valantinas Dominykas 4 4 6 1 4 7 1 7 10 4 7
Paulauskas Mantas 1 9 9 10 8 5 2 9 4 10 7
ukauskas Dominykas 4 8 4 10 4 7 9 2 2 5 3
Petrauskas Titas 6 4 8 3 6 5 6 6 10 9 8
Bacevi?ius Benas 5 10 2 7 3 7 1 2 5 8 10
Kazlauskas Lukas 5 6 10 6 5 3 5 5 4 9 7
Giedraitis Deividas 7 9 7 6 1 3 8 8 7 3 3
Mikalauskas Dominykas 3 9 7 6 7 10 3 3 3 8 9
Maeika Adomas 7 1 4 1 9 3 8 10 6 6 10
Mikalauskas Kajus 6 5 1 2 10 5 5 9 9 4 6
Jankauskas Andrius 8 9 9 7 8 4 7 8 3 1 10
Pocius Dovydas 4 6 10 9 3 9 5 2 10 5 4
Pocius Ignas 9 10 10 5 2 4 9 4 6 4 2
Noreika Lukas 2 9 8 10 8 6 10 3 8 4 8
Kavaliauskas Lukas 7 1 9 1 5 9 9 4 3 8 3
Sadauskas Laurynas 5 5 2 2 7 7 2 1 7 9 9
Kairys Laurynas 5 8 7 5 1 2 3 3 2 3 4
Giedraitis Ignas 10 8 5 1 10 5 7 2 6 3 1
Kavaliauskas Jonas 4 4 3 8 10 3 5 4 9 2 2
Giedraitis Titas 10 1 10 10 7 4 3 2 5 6 7
Šimkus Andrius 7 6 4 9 6 7 4 2 9 4 6
Paulauskas Dovydas 10 10 5 6 7 4 9 10 8 4 1
Bacevi?ius Tomas 3 2 1 7 6 7 5 3 9 3 8
Kairys Laurynas 3 3 3 9 3 1 7 2 7 3 6
Petrauskas Arnas 5 6 7 7 7 1 10 3 10 8 4
?epas Laurynas 4 8 1 9 1 8 7 9 3 1 9
Jankauskas Tomas 5 8 8 8 2 9 10 4 9 4 8
Maeika Paulius 4 3 4 10 7 6 6 4 2 9 10
Sadauskas Jonas 5 7 10 5 3 1 2 3 5 4 6
Grigaitis Nojus 5 4 2 8 5 10 7 10 5 3 8
Kavaliauskas Jonas 3 4 2 6 10 6 1 4 3 1 4
Jankauskas Benas 8 8 10 8 3 5 6 3 8 8 6
Petrauskas Laurynas 3 1 7 2 3 3 2 4 6 5 6
Pocius Laurynas 6 1 10 10 10 7 4 10 9 6 1
Kazlauskas Tomas 8 7 1 10 5 8 8 6 8 8 9
?epas Ignas 5 1 7 2 8 6 6 9 6 1 7
Jankauskas Martynas 3 3 3 10 2 5 1 9 1 3 10
Noreika Rokas 4 3 8 3 4 9 1 5 4 4 3
Stankevi?ius Laurynas 8 8 6 7 7 7 2 8 1 6 9
Pocius Deividas 9 10 9 6 3 7 9 5 2 1 3
Šimkus Ignas 6 3 1 2 6 1 8 3 9 10 1
Vasiliauskas Dovydas 8 9 10 3 9 4 5 8 5 7 4
Kairys Martynas 6 10 5 10 4 10 3 4 7 3 3
Kavaliauskas Laurynas 8 3 3 6 10 6 10 9 1 5 5
Maeika Lukas 10 5 2 10 2 9 2 3 6 1 6
Giedraitis Adomas 3 1 8 6 3 10 7 5 9 10 7
Jankauskas Dovydas 4 6 6 1 5 10 6 6 9 1 4
Jankauskas Andrius 7 1 9 9 4 1 9 8 9 7 8
Paulauskas Paulius 10 10 5 4 8 7 10 10 10 1 3
Pocius Dominykas 3 1 2 8 4 4 5 7 8 8 7
Šimkus Mantas 9 1 3 8 1 2 1 10 3 7 10
Vasiliauskas Ignas 1 8 6 1 8 7 7 8 3 8 8
Mikalauskas Benas 5 6 7 10 7 4 1 3 5 9 2
Pocius Jonas 5 4 8 1 8 2 9 6 9 6 9
Jankauskas Laurynas 10 8 5 9 5 4 8 9 8 1 2
Valantinas Vilius 9 8 3 8 4 4 7 4 6 6 6
Valantinas Laurynas 1 6 7 4 5 4 6 6 10 10 10
Kavaliauskas Lukas 1 1 3 2 5 5 8 6 9 8 6
Vasiliauskas Arnas 7 5 8 4 9 7 3 8 5 1 7
Jankauskas Deividas 7 3 9 2 7 2 5 4 8 8 9
Kavaliauskas Dominykas 7 4 2 9 7 6 9 9 10 4 5
Pocius Laurynas 9 6 6 4 6 2 7 7 3 10 2
Kairys Arnas 4 9 4 8 1 5 6 7 6 2 10
Grigaitis Ignas 6 5 4 2 9 9 6 10 9 2 4
Petrauskas Deividas 6 8 7 10 6 1 3 8 10 1 2
?epas Kajus 3 7 10 9 6 6 8 5 6 8 7
Šimkus Vilius 4 4 8 2 10 2 9 8 9 2 4
Noreika Nojus 10 5 4 6 9 5 2 4 5 10 5
Vasiliauskas Mantas 1 9 7 10 7 4 10 8 6 3 4
Noreika Deividas 8 5 8 6 8 7 5 5 7 1 8
Bacevi?ius Titas 10 7 1 2 7 5 4 4 5 8 1
Vasiliauskas Vilius 5 9 5 7 1 2 4 5 9 7 1
Valantinas Adomas 9 1 9 7 1 7 4 8 6 7 2
?epas Mantas 3 1 5 7 9 9 7 3 1 8 3
ukauskas Laurynas 2 8 1 1 1 4 10 4 7 5 1
Noreika Rokas 8 9 4 1 1 9 7 8 2 7 8
Kairys Deividas 9 2 2 9 10 1 3 6 1 7 3
Stankevi?ius Ignas 9 10 1 6 9 2 3 4 4 6 10
Mikalauskas Tomas 5 3 4 3 1 7 8 10 9 2 2
Giedraitis Mantas 9 5 6 5 4 5 10 7 4 5 10
Maeika Jonas 9 6 8 6 5 9 4 4 6 2 2
Bacevi?ius Titas 5 8 9 10 8 2 3 3 10 10 3
Šimkus Kajus 4 6 6 1 6 7 2 4 7 8 4
Giedraitis Rokas 3 6 2 4 10 9 10 10 3 8 2
Grigaitis Nojus 5 7 2 8 4 2 7 3 1 5 5
Jankauskas Laurynas 2 8 3 3 5 4 1 3 8 8 2
Kazlauskas Rokas 7 7 5 9 3 8 8 4 6 7 4
Stankevi?ius Ignas 1 2 8 5 6 10 3 6 7 7 8
ukauskas Benas 4 9 5 4 5 9 9 5 7 9 8
Kazlauskas Andrius 8 2 6 4 5 6 3 1 4 5 2
Kavaliauskas Adomas 3 3 1 2 3 3 4 2 4 10 9
Noreika Jonas 6 4 8 3 8 1 1 3 6 7 5
Maeika Titas 2 10 9 9 9 10 6 6 7 2 1
Kairys Rokas 10 6 3 9 8 1 5 4 5 2 8
Pocius Vilius 10 5 3 2 7 8 3 6 6 2 8
Petrauskas Paulius 8 10 6 4 3 6 6 6 1 5 2
ukauskas Paulius 6 4 7 3 1 1 6 4 2 5 4
?epas Adomas 2 1 8 3 9 9 10 6 1 4 3
Jankauskas Benas 8 10 8 4 8 5 5 6 9 3 1
Valantinas Adomas 5 7 10 8 3 4 8 1 5 7 5
Mikalauskas Adomas 6 5 1 4 1 8 2 6 7 3 4
Mikalauskas Deividas 8 4 8 7 9 10 1 10 5 1 2
Maeika Dominykas 10 1 10 1 4 4 1 8 7 4 1
Grigaitis Titas 5 6 2 3 10 2 6 2 3 7 10
Sadauskas Kajus 2 5 2 4 5 5 9 10 2 9 1
Petrauskas Titas 10 3 3 8 2 5 4 3 4 8 2
ukauskas Laurynas 5 4 9 4 5 2 2 4 3 9 4
Jankauskas Vilius 9 3 6 6 6 5 9 3 9 1 3
Jankauskas Vilius 9 3 5 5 7 9 1 7 7 7 4
Kavaliauskas Benas 7 4 8 1 7 1 10 5 9 2 3
Valantinas Jonas 10 8 9 10 2 6 5 1 9 7 5
Bacevi?ius Andrius 7 9 3 7 10 5 4 6 8 6 8
Paulauskas Adomas 8 2 6 10 5 8 4 3 3 6 7
ukauskas Martynas 8 6 2 1 9 4 1 10 3 8 2
Maeika Paulius 1 1 1 9 1 9 10 4 10 3 6
Vasiliauskas Mantas 2 9 5 2 5 8 2 10 3 1 8
Bacevi?ius Tomas 7 4 10 4 3 9 10 4 1 7 4
Sadauskas Titas 9 7 2 7 7 9 3 4 1 10 10
Pocius Lukas 9 10 8 10 10 2 2 2 10 2 8
Petrauskas Andrius 2 8 7 3 8 10 9 10 8 8 4
Sadauskas Martynas 5 1 3 6 8 7 3 7 8 5 1
Vasiliauskas Nojus 9 8 5 10 8 6 3 8 2 3 4
Valantinas Paulius 4 2 5 2 10 4 3 8 9 7 4
Paulauskas Lukas 9 7 4 10 2 4 6 6 9 8 2
Giedraitis Andrius 4 3 3 4 4 8 1 2 3 3 6
Pocius Deividas 5 2 8 2 1 5 10 3 5 9 6
Valantinas Rokas 3 1 10 5 9 4 6 4 2 9 4
Kairys Tomas 3 6 7 1 1 9 10 4 1 7 5
Kazlauskas Dovydas 10 7 5 5 4 6 5 8 4 4 8
?epas Nojus 10 3 3 7 3 3 3 4 3 5 3
Maeika Dominykas 9 4 6 2 1 10 4 7 9 4 4
Šimkus Benas 8 1 1 2 3 4 2 3 2 3 4
?epas Ignas 8 6 5 8 5 5 8 7 3 3 7
?epas Andrius 5 3 2 7 1 3 5 8 4 10 7
Bacevi?ius Dominykas 2 1 2 7 2 3 2 6 1 1 4
Noreika Dovydas 7 8 2 6 10 3 3 7 10 5 10
Kavaliauskas Titas 1 8 1 3 7 2 7 4 10 1 8
?epas Andrius 3 5 6 2 3 10 3 4 3 4 2
Vasiliauskas Titas 8 7 7 4 6 5 2 6 2 7 1
Kazlauskas Titas 6 7 3 2 5 1 7 5 8 1 3
Sadauskas Paulius 10 4 5 8 2 7 6 4 9 3 7
Pocius Laurynas 6 5 3 4 2 5 4 4 7 10 6
Kairys Vilius 5 4 7 8 8 3 7 10 9 8 2
Bacevi?ius Benas 2 10 10 1 8 8 9 4 4 10 6
Šimkus Martynas 4 7 7 8 5 4 10 5 8 8 2
Mikalauskas Arnas 7 9 9 7 9 1 10 4 10 7 9
Vasiliauskas Dominykas 7 3 4 7 2 9 9 1 10 10 8
Pocius Adomas 2 6 6 3 4 5 1 2 8 10 1
Grigaitis Kajus 5 3 3 9 4 6 2 9 5 8 5
Maeika Ignas 2 6 10 8 7 9 5 10 2 4 8
Maeika Martynas 9 4 2 4 9 10 2 2 2 5 4
Šimkus Mantas 1 9 1 8 8 9 3 7 4 3 9
Vasiliauskas Rokas 1 9 4 8 6 10 3 10 8 3 3
Vasiliauskas Andrius 2 5 1 9 2 10 7 3 7 8 2
Mikalauskas Tomas 8 3 4 3 3 2 5 4 8 5 6
Noreika Dovydas 4 5 5 2 3 5 10 1 2 9 1
Noreika Dovydas 1 7 3 5 2 5 9 5 9 10 1
Petrauskas Mantas 6 4 10 9 4 3 4 7 6 9 3
Petrauskas Laurynas 3 3 4 4 2 5 6 3 7 3 4
ukauskas Paulius 7 1 1 8 8 5 8 1 3 6 3
Maeika Vilius 3 10 1 4 10 8 1 6 10 10 1
Maeika Benas 2 8 4 10 9 10 1 1 2 6 7
Jankauskas Andrius 7 5 2 3 9 7 5 1 5 7 10
Kazlauskas Andrius 10 10 4 2 9 4 3 6 4 2 4
Pocius Mantas 1 2 2 5 1 1 9 10 1 4 8
Kazlauskas Vilius 10 9 9 8 5 10 10 1 8 8 4
Sadauskas Andrius 10 9 10 3 3 10 9 2 8 10 5
ukauskas Dovydas 7 3 6 5 10 8 7 3 2 2 3
Pocius Tomas 5 5 5 10 3 8 2 6 1 9 9
Sadauskas Mantas 5 8 5 10 2 5 9 3 8 5 3
Bacevi?ius Jonas 10 7 7 5 2 8 7 4 3 2 8
Paulauskas Andrius 7 4 10 9 6 1 7 4 3 7 1
Mikalauskas Deividas 9 3 5 8 9 9 9 4 3 6 4
Kazlauskas Nojus 8 2 7 3 9 4 1 7 1 3 9
Valantinas Deividas 5 5 3 10 1 8 6 2 8 3 10
Petrauskas Andrius 5 6 1 6 6 1 5 2 9 8 9
Sadauskas Paulius 3 10 8 3 3 4 8 1 3 9 8
Grigaitis Laurynas 10 10 8 1 7 10 1 3 3 2 5
Kazlauskas Lukas 2 8 1 1 2 7 2 1 5 2 1
Noreika Tomas 9 3 10 8 2 1 10 7 10 1 3
Sadauskas Adomas 3 3 1 7 4 9 5 3 5 10 3
Grigaitis Ignas 7 7 10 6 8 3 6 10 1 1 9
Petrauskas Dominykas 4 8 4 9 2 6 6 2 8 6 7
?epas Jonas 8 3 6 6 5 4 6 2 3 7 4
Pocius Laurynas 5 4 8 6 9 5 8 9 1 6 4
Noreika Kajus 6 2 4 8 4 2 4 4 7 8 8
Jankauskas Paulius 1 4 10 1 10 2 7 4 10 4 7
Jankauskas Dovydas 9 7 10 6 1 5 2 10 7 2 1
Grigaitis Deividas 3 2 10 9 3 3 6 8 7 7 10
Pocius Titas 5 10 4 8 4 8 4 1 1 5 8
Šimkus Lukas 4 5 6 7 9 7 7 9 2 3 6
Maeika Benas 2 1 3 8 2 2 4 4 9 9 8
Šimkus Laurynas 6 1 6 8 6 10 2 9 6 3 4
Kavaliauskas Dovydas 5 8 1 4 8 9 5 7 2 9 6
Vasiliauskas Deividas 1 3 8 9 7 3 1 2 1 3 7
Kairys Ignas 1 3 5 3 10 7 2 3 8 3 6
Noreika Mantas 2 5 7 6 10 8 8 9 3 4 6
Vasiliauskas Nojus 1 8 10 1 10 8 6 4 9 10 9
Bacevi?ius Deividas 2 3 2 2 10 9 3 5 9 3 10
Paulauskas Tomas 4 10 10 8 3 2 1 9 5 3 4
Kavaliauskas Andrius 9 7 8 10 9 5 8 8 1 7 8
ukauskas Jonas 6 5 9 3 6 5 1 3 1 9 3
Giedraitis Jonas 6 7 3 5 8 3 8 3 1 6 8
Bacevi?ius Dovydas 3 7 8 5 8 3 3 3 9 8 8
Kazlauskas Lukas 7 6 2 7 1 6 6 9 6 2 5
Grigaitis Dovydas 7 8 5 4 1 9 7 3 6 8 4
Petrauskas Dominykas 3 5 8 10 2 6 9 9 4 2 1
Bacevi?ius Adomas 4 9 5 3 7 4 4 1 2 8 10
Pocius Deividas 4 9 7 1 5 5 10 5 4 2 6
Kairys Benas 10 9 8 2 2 2 9 6 2 8 1
Bacevi?ius Titas 2 10 3 5 6 5 8 7 1 1 7
Kazlauskas Tomas 7 4 5 7 1 5 5 8 10 8 6
Grigaitis Vilius 7 2 10 3 4 9 8 9 4 5 1
Giedraitis Tomas 3 10 4 1 2 9 7 7 2 8 2
Kairys Dovydas 9 7 4 3 6 8 7 9 8 6 1
Šimkus Nojus 9 7 6 5 7 5 8 4 3 3 2
Grigaitis Mantas 3 3 4 9 6 5 3 7 4 1 3
Bacevi?ius Arnas 9 6 1 6 10 7 5 9 9 10 7
Kairys Martynas 8 10 6 5 9 3 7 10 8 9 4
Sadauskas Deividas 4 5 1 7 7 5 5 7 9 10 4
Pocius Nojus 3 4 6 1 10 8 7 10 8 3 7
Šimkus Nojus 10 3 7 2 6 3 10 2 8 7 9
Giedraitis Andrius 3 1 2 4 3 6 9 5 6 2 8
Vasiliauskas Tomas 6 3 7 6 7 10 3 8 8 3 7
?epas Mantas 1 1 10 5 1 2 10 7 6 5 3
Pocius Deividas 8 9 9 8 5 9 3 9 3 2 4
Giedraitis Deividas 7 6 6 8 1 3 2 6 6 2 6
Kazlauskas Vilius 10 10 10 6 7 10 1 5 2 3 3
Kairys Vilius 6 1 6 10 6 4 1 1 3 8 2
Stankevi?ius Jonas 5 5 7 8 10 4 8 3 4 9 8
Stankevi?ius Laurynas 8 5 1 1 1 5 5 1 3 4 10
Paulauskas Arnas 3 9 3 10 2 8 7 10 10 6 9
Petrauskas Mantas 10 6 2 5 10 9 3 3 7 2 4
Kairys Ignas 2 5 9 5 1 7 3 2 6 2 6
ukauskas Lukas 3 9 7 5 5 7 4 6 8 5 10
Petrauskas Titas 1 6 1 1 8 5 6 8 4 9 5
