Pavarde        Vardas         Galutinis (Vid.)
Deividas       Žukauskas          6.69
Eimantas       Matulis            6.71
Rokas          Jankauskas         7.51
Vytautas       Butkus             5.03
Eimantas       Sakalauskas        7.69
Rokas          Petrauskas         6.37
Arvydas        Stankevičius       5.00
Šarūnas        Petraitis          5.74
Tomas          Kundrotas          5.14
Eimantas       Sabonis            6.91
Rokas          Jankauskas         5.31
Ernestas       Jankauskas         6.43
Mindaugas      Petrauskas         8.51
Arvydas        Kundrotas          6.09
Lukas          Petrauskas         5.83
Antanas        Zelvys             5.66
Karolis        Balsys             8.37
Gabrielius     Kairys             7.83
Vytautas       Kairys             6.83
Rokas          Žukauskas          6.57
Paulius        Balčiūnas          5.97
Eimantas       Norkus             5.74
Mantas         Dapkus             7.60
Antanas        Misevičius         7.86
Dovydas        Šimkus             8.11
Martynas       Kairys             5.69
Martynas       Bagdonas           8.46
Mantas         Žukauskas          8.23
Simonas        Bagdonas           7.60
Vilius         Vaitkus            6.43
Jonas          Jasinskas          5.40
Vilius         Vaitkus            5.14
Jonas          Morkūnas           7.23
Laurynas       Petrauskas         6.23
Dominykas      Stankevičius       6.83
Ernestas       Vaičiūnas          6.54
Vilius         Sakalauskas        7.94
Arvydas        Vaičiūnas          7.00
Vilius         Matulis            6.17
Mindaugas      Norkus             8.29
Vilius         Kairys             8.17
Vilius         Petraitis          6.66
Karolis        Dapkus             6.14
Dovydas        Kazlauskas         5.60
Justinas       Pocius             6.11
Gabrielius     Juodka             7.69
Andrius        Sakalauskas        8.46
Lukas          Kazlauskas         8.51
Giedrius       Petraitis          5.63
Justinas       Misevičius         8.29
Arnas          Petrauskas         6.51
Andrius        Juodka             6.06
Simonas        Misevičius         5.31
Aurimas        Petraitis          5.51
Mantas         Norkus             6.83
Karolis        Vaitkus            6.00
Arnas          Vaičiūnas          6.43
Šarūnas        Butkus             6.00
Eimantas       Bagdonas           5.46
Karolis        Šimkus             5.46
Karolis        Jankauskas         8.06
Lukas          Vaitkus            6.63
Deividas       Petraitis          5.51
Deividas       Morkūnas           6.37
Gabrielius     Sakalauskas        6.60
Šarūnas        Juodka             5.51
Deividas       Jasinskas          8.03
Arnas          Matulis            6.60
Antanas        Urbonas            5.14
Arvydas        Žukauskas          7.74
Tomas          Butkus             6.49
Jonas          Jasinskas          5.77
Rokas          Šimkus             6.77
Rokas          Pocius             5.77
Vilius         Sakalauskas        5.43
Edgaras        Šimkus             7.26
Deividas       Balsys             6.69
Antanas        Jankauskas         7.23
Arnas          Matulis            7.06
Dovydas        Butkus             7.17
Andrius        Petraitis          7.66
Rokas          Balsys             6.29
Andrius        Butkus             5.46
Arnas          Vaičiūnas          7.40
Saulius        Sakalauskas        8.51
Vytautas       Petraitis          6.43
Edgaras        Šimkus             7.63
Šarūnas        Balčiūnas          6.00
Gabrielius     Šimkus             6.34
Jonas          Zelvys             5.49
Vilius         Rutkauskas         6.34
Arvydas        Misevičius         5.60
Mindaugas      Dapkus             5.43
Karolis        Pocius             7.09
Andrius        Vaitkus            7.71
Tomas          Norkus             8.34
Ernestas       Morkūnas           6.17
Jonas          Vaičiūnas          6.77
Paulius        Vaitkus            5.89
Vilius         Matulis            6.11
Laurynas       Stankevičius       5.20
Mantas         Dapkus             7.86
Mindaugas      Balsys             7.37
Vilius         Balčiūnas          5.69
Šarūnas        Balčiūnas          7.46
Mantas         Morkūnas           5.57
Deividas       Pocius             5.71
Arnas          Juodka             7.94
Arvydas        Matulis            5.46
Vilius         Navickas           6.37
Saulius        Juodka             7.89
Saulius        Morkūnas           8.37
Arnas          Dapkus             7.03
Giedrius       Petrauskas         5.71
Mantas         Kundrotas          7.86
Vytautas       Žukauskas          5.09
Vilius         Matulis            7.37
Giedrius       Žukauskas          5.49
Paulius        Misevičius         6.46
Mindaugas      Bagdonas           7.20
Martynas       Bagdonas           5.74
Martynas       Matulis            5.83
Ernestas       Morkūnas           5.71
Arvydas        Jasinskas          6.71
Tomas          Žukauskas          8.03
Deividas       Jankauskas         7.66
Mindaugas      Sakalauskas        5.23
Gabrielius     Juodka             7.60
Deividas       Kairys             5.91
Antanas        Navickas           7.86
Lukas          Pocius             8.00
Giedrius       Juodka             5.77
Mantas         Paulauskas         6.14
Simonas        Juodka             8.69
Dovydas        Morkūnas           5.60
Justinas       Sabonis            5.66
Giedrius       Kairys             5.23
Dovydas        Žukauskas          6.11
Dovydas        Kundrotas          8.06
Vilius         Kazlauskas         6.97
Arnas          Stankevičius       8.97
Paulius        Bagdonas           8.00
Deividas       Sakalauskas        7.26
Aurimas        Kairys             5.29
Simonas        Zelvys             6.43
Lukas          Paulauskas         6.89
Laurynas       Sakalauskas        6.20
Edgaras        Balsys             8.06
Laurynas       Misevičius         7.57
Ernestas       Sabonis            7.46
Karolis        Morkūnas           6.63
Giedrius       Kairys             8.34
Edgaras        Butkus             6.91
Šarūnas        Jasinskas          5.31
Edgaras        Butkus             8.06
Andrius        Jankauskas         5.03
Deividas       Juodka             5.91
Mantas         Pocius             6.66
Giedrius       Petraitis          5.09
Mantas         Rutkauskas         6.54
Vilius         Norkus             5.34
Deividas       Balsys             7.83
Lukas          Matulis            8.86
Šarūnas        Vaitkus            5.86
Aurimas        Sakalauskas        8.06
Karolis        Matulis            6.83
Eimantas       Petraitis          6.17
Šarūnas        Misevičius         6.94
Arnas          Urbonas            6.71
Jonas          Stankevičius       5.43
Ernestas       Vaitkus            6.34
Paulius        Jankauskas         7.20
Lukas          Balčiūnas          6.74
Tomas          Morkūnas           6.03
Dovydas        Juodka             5.40
Jonas          Navickas           5.66
Eimantas       Matulis            5.77
Justinas       Paulauskas         6.51
Vytautas       Vaičiūnas          7.29
Aurimas        Navickas           7.89
Eimantas       Sabonis            6.03
Andrius        Sakalauskas        7.51
Rokas          Vaitkus            7.63
Arnas          Petraitis          7.89
Paulius        Morkūnas           6.11
Arnas          Kundrotas          5.11
Tomas          Balčiūnas          6.11
Vilius         Pocius             8.26
Vytautas       Vaičiūnas          6.91
Arvydas        Vaitkus            9.20
Aurimas        Morkūnas           9.14
Vytautas       Balčiūnas          6.77
Dovydas        Balčiūnas          6.83
Giedrius       Navickas           5.97
Justinas       Sakalauskas        5.11
Tomas          Šimkus             7.14
Jonas          Kazlauskas         7.71
Simonas        Žukauskas          8.06
Justinas       Juodka             5.06
Šarūnas        Petraitis          7.31
Dovydas        Jankauskas         6.77
Giedrius       Petraitis          6.23
Dovydas        Pocius             6.00
Vytautas       Kazlauskas         5.86
Dominykas      Navickas           7.11
Mantas         Misevičius         7.03
Dominykas      Balsys             7.43
Vilius         Jasinskas          6.43
Rokas          Navickas           6.03
Lukas          Bagdonas           7.20
Jonas          Sakalauskas        7.00
Andrius        Šimkus             6.86
Jonas          Dapkus             9.09
Ernestas       Vaitkus            5.91
Saulius        Misevičius         7.26
Arnas          Sakalauskas        7.00
Laurynas       Jasinskas          6.63
Edgaras        Paulauskas         5.77
Martynas       Petraitis          7.06
Simonas        Žukauskas          5.77
Vytautas       Sabonis            7.46
Arnas          Urbonas            7.80
Andrius        Butkus             9.09
Justinas       Jasinskas          6.97
Giedrius       Misevičius         7.54
Deividas       Misevičius         7.20
Justinas       Urbonas            6.20
Saulius        Butkus             5.51
Šarūnas        Petrauskas         5.57
Tomas          Šimkus             7.09
Ernestas       Pocius             5.03
Lukas          Balčiūnas          7.03
Arvydas        Matulis            7.83
Mindaugas      Petraitis          6.00
Simonas        Rutkauskas         8.17
Ignas          Kazlauskas         5.71
Tomas          Šimkus             8.23
Dominykas      Šimkus             6.89
Arnas          Juodka             5.77
Eimantas       Petrauskas         5.69
Dovydas        Balčiūnas          7.14
Antanas        Norkus             5.77
Karolis        Sakalauskas        7.46
Edgaras        Dapkus             7.71
Paulius        Pocius             7.80
Martynas       Urbonas            8.20
Šarūnas        Kairys             8.03
Ignas          Sabonis            8.69
Andrius        Zelvys             7.34
Edgaras        Bagdonas           9.09
Antanas        Rutkauskas         7.17
Edgaras        Stankevičius       6.11
Karolis        Sakalauskas        7.63
Lukas          Misevičius         5.11
Martynas       Balsys             5.94
Justinas       Vaičiūnas          5.46
Andrius        Matulis            7.57
Giedrius       Pocius             6.83
Giedrius       Dapkus             7.94
Ignas          Žukauskas          6.94
Laurynas       Sabonis            5.03
Dominykas      Stankevičius       5.80
Jonas          Pocius             5.14
Vilius         Stankevičius       6.71
Edgaras        Bagdonas           6.11
Lukas          Šimkus             5.06
Rokas          Petrauskas         5.40
Simonas        Paulauskas         5.09
Dovydas        Stankevičius       6.20
Gabrielius     Urbonas            6.69
Vilius         Paulauskas         5.31
Laurynas       Paulauskas         8.91
Simonas        Dapkus             6.49
Lukas          Vaitkus            6.37
Dovydas        Jasinskas          6.23
Justinas       Matulis            5.97
Dominykas      Paulauskas         5.86
Deividas       Žukauskas          6.71
Mantas         Žukauskas          7.60
Lukas          Kazlauskas         7.31
Šarūnas        Vaičiūnas          5.80
