Pavarde        Vardas         Galutinis (Vid.)
Pavarde279     Vardas279          3.57
Pavarde280     Vardas280          3.99
Pavarde285     Vardas285          2.97
Pavarde287     Vardas287          4.35
Pavarde293     Vardas293          3.00
Pavarde294     Vardas294          3.39
Pavarde295     Vardas295          3.99
Pavarde303     Vardas303          4.41
Pavarde304     Vardas304          2.60
Pavarde305     Vardas305          2.52
Pavarde307     Vardas307          4.36
Pavarde309     Vardas309          4.36
Pavarde310     Vardas310          3.60
Pavarde313     Vardas313          4.37
Pavarde315     Vardas315          2.71
Pavarde316     Vardas316          4.45
Pavarde317     Vardas317          4.95
Pavarde318     Vardas318          2.73
Pavarde320     Vardas320          4.80
Pavarde322     Vardas322          4.40
Pavarde325     Vardas325          4.89
Pavarde328     Vardas328          4.73
Pavarde33      Vardas33           4.89
Pavarde332     Vardas332          3.41
Pavarde333     Vardas333          2.79
Pavarde334     Vardas334          2.81
Pavarde339     Vardas339          4.65
Pavarde34      Vardas34           2.49
Pavarde340     Vardas340          4.48
Pavarde345     Vardas345          3.88
Pavarde346     Vardas346          4.53
Pavarde347     Vardas347          4.01
Pavarde352     Vardas352          2.57
Pavarde354     Vardas354          4.75
Pavarde357     Vardas357          2.73
Pavarde358     Vardas358          4.80
Pavarde359     Vardas359          4.11
Pavarde36      Vardas36           3.13
Pavarde362     Vardas362          3.93
Pavarde363     Vardas363          4.52
Pavarde364     Vardas364          4.39
Pavarde367     Vardas367          3.33
Pavarde372     Vardas372          4.59
Pavarde374     Vardas374          4.16
Pavarde377     Vardas377          4.44
Pavarde378     Vardas378          3.07
Pavarde379     Vardas379          3.11
Pavarde38      Vardas38           3.63
Pavarde387     Vardas387          4.56
Pavarde389     Vardas389          2.89
Pavarde390     Vardas390          4.96
Pavarde392     Vardas392          2.68
Pavarde394     Vardas394          3.59
Pavarde396     Vardas396          3.11
Pavarde402     Vardas402          3.77
Pavarde404     Vardas404          3.63
Pavarde405     Vardas405          4.47
Pavarde406     Vardas406          4.92
Pavarde408     Vardas408          3.84
Pavarde41      Vardas41           3.53
Pavarde412     Vardas412          3.44
Pavarde413     Vardas413          2.92
Pavarde42      Vardas42           4.87
Pavarde420     Vardas420          3.68
Pavarde421     Vardas421          3.83
Pavarde422     Vardas422          4.64
Pavarde426     Vardas426          3.13
Pavarde429     Vardas429          3.81
Pavarde43      Vardas43           3.89
Pavarde430     Vardas430          4.09
Pavarde431     Vardas431          3.77
Pavarde437     Vardas437          3.21
Pavarde439     Vardas439          3.63
Pavarde44      Vardas44           3.33
Pavarde441     Vardas441          4.27
Pavarde442     Vardas442          3.35
Pavarde445     Vardas445          3.65
Pavarde446     Vardas446          4.16
Pavarde449     Vardas449          4.85
Pavarde45      Vardas45           4.37
Pavarde450     Vardas450          2.89
Pavarde452     Vardas452          4.87
Pavarde453     Vardas453          4.80
Pavarde456     Vardas456          2.71
Pavarde457     Vardas457          4.49
Pavarde459     Vardas459          2.89
Pavarde463     Vardas463          4.13
Pavarde464     Vardas464          3.19
Pavarde465     Vardas465          2.65
Pavarde466     Vardas466          4.77
Pavarde474     Vardas474          3.00
Pavarde476     Vardas476          4.03
Pavarde481     Vardas481          4.93
Pavarde484     Vardas484          4.45
Pavarde485     Vardas485          4.11
Pavarde487     Vardas487          4.97
Pavarde490     Vardas490          2.49
Pavarde491     Vardas491          3.05
Pavarde492     Vardas492          4.76
Pavarde494     Vardas494          3.39
Pavarde495     Vardas495          4.28
Pavarde5       Vardas5            4.87
Pavarde500     Vardas500          4.63
Pavarde501     Vardas501          4.85
Pavarde502     Vardas502          4.09
Pavarde503     Vardas503          3.13
Pavarde505     Vardas505          2.55
Pavarde508     Vardas508          4.45
Pavarde509     Vardas509          2.71
Pavarde518     Vardas518          3.80
Pavarde521     Vardas521          4.20
Pavarde524     Vardas524          4.33
Pavarde526     Vardas526          4.01
Pavarde530     Vardas530          4.64
Pavarde531     Vardas531          3.65
Pavarde532     Vardas532          2.85
Pavarde535     Vardas535          4.49
Pavarde538     Vardas538          3.09
Pavarde539     Vardas539          4.64
Pavarde544     Vardas544          3.25
Pavarde548     Vardas548          4.77
Pavarde549     Vardas549          3.21
Pavarde55      Vardas55           3.91
Pavarde550     Vardas550          4.13
Pavarde553     Vardas553          2.65
Pavarde555     Vardas555          2.47
Pavarde557     Vardas557          4.01
Pavarde56      Vardas56           3.83
Pavarde561     Vardas561          3.91
Pavarde562     Vardas562          4.28
Pavarde565     Vardas565          4.83
Pavarde567     Vardas567          4.17
Pavarde57      Vardas57           3.63
Pavarde571     Vardas571          4.79
Pavarde572     Vardas572          2.81
Pavarde574     Vardas574          3.24
Pavarde579     Vardas579          4.23
Pavarde580     Vardas580          3.83
Pavarde583     Vardas583          4.64
Pavarde585     Vardas585          3.49
Pavarde589     Vardas589          4.32
Pavarde590     Vardas590          4.56
Pavarde591     Vardas591          2.65
Pavarde592     Vardas592          4.41
Pavarde593     Vardas593          4.83
Pavarde595     Vardas595          4.76
Pavarde596     Vardas596          2.63
Pavarde597     Vardas597          2.84
Pavarde599     Vardas599          2.31
Pavarde6       Vardas6            3.28
Pavarde602     Vardas602          4.92
Pavarde604     Vardas604          4.12
Pavarde609     Vardas609          2.89
Pavarde611     Vardas611          2.92
Pavarde612     Vardas612          4.15
Pavarde614     Vardas614          3.84
Pavarde615     Vardas615          3.71
Pavarde616     Vardas616          3.56
Pavarde62      Vardas62           4.75
Pavarde620     Vardas620          2.41
Pavarde623     Vardas623          3.56
Pavarde624     Vardas624          4.48
Pavarde626     Vardas626          3.17
Pavarde627     Vardas627          4.43
Pavarde63      Vardas63           2.92
Pavarde630     Vardas630          4.88
Pavarde631     Vardas631          4.67
Pavarde636     Vardas636          2.44
Pavarde637     Vardas637          4.09
Pavarde638     Vardas638          4.56
Pavarde644     Vardas644          3.36
Pavarde645     Vardas645          2.99
Pavarde646     Vardas646          4.13
Pavarde649     Vardas649          2.79
Pavarde653     Vardas653          4.47
Pavarde655     Vardas655          3.15
Pavarde658     Vardas658          4.28
Pavarde660     Vardas660          3.77
Pavarde662     Vardas662          4.09
Pavarde666     Vardas666          2.76
Pavarde668     Vardas668          3.49
Pavarde669     Vardas669          4.07
Pavarde671     Vardas671          4.40
Pavarde675     Vardas675          3.12
Pavarde677     Vardas677          4.59
Pavarde679     Vardas679          4.67
Pavarde68      Vardas68           4.43
Pavarde684     Vardas684          3.68
Pavarde686     Vardas686          3.55
Pavarde687     Vardas687          4.21
Pavarde691     Vardas691          3.67
Pavarde692     Vardas692          3.15
Pavarde693     Vardas693          4.07
Pavarde695     Vardas695          2.87
Pavarde7       Vardas7            4.79
Pavarde70      Vardas70           4.97
Pavarde703     Vardas703          3.60
Pavarde704     Vardas704          4.47
Pavarde708     Vardas708          4.95
Pavarde711     Vardas711          3.13
Pavarde712     Vardas712          4.97
Pavarde715     Vardas715          2.57
Pavarde717     Vardas717          3.11
Pavarde718     Vardas718          3.55
Pavarde720     Vardas720          3.49
Pavarde726     Vardas726          3.61
Pavarde727     Vardas727          2.76
Pavarde728     Vardas728          3.33
Pavarde73      Vardas73           3.72
Pavarde730     Vardas730          3.67
Pavarde733     Vardas733          3.68
Pavarde734     Vardas734          2.73
Pavarde735     Vardas735          4.45
Pavarde739     Vardas739          3.71
Pavarde74      Vardas74           4.85
Pavarde740     Vardas740          3.69
Pavarde741     Vardas741          4.87
Pavarde742     Vardas742          4.43
Pavarde743     Vardas743          4.87
Pavarde744     Vardas744          4.48
Pavarde745     Vardas745          4.29
Pavarde747     Vardas747          4.59
Pavarde75      Vardas75           4.67
Pavarde750     Vardas750          4.64
Pavarde753     Vardas753          4.88
Pavarde754     Vardas754          4.32
Pavarde755     Vardas755          4.77
Pavarde758     Vardas758          3.64
Pavarde759     Vardas759          4.39
Pavarde764     Vardas764          3.88
Pavarde766     Vardas766          4.76
Pavarde768     Vardas768          3.57
Pavarde77      Vardas77           2.92
Pavarde770     Vardas770          4.59
Pavarde775     Vardas775          2.33
Pavarde779     Vardas779          3.43
Pavarde780     Vardas780          3.03
Pavarde781     Vardas781          3.43
Pavarde782     Vardas782          3.68
Pavarde783     Vardas783          3.97
Pavarde790     Vardas790          3.71
Pavarde797     Vardas797          3.47
Pavarde798     Vardas798          3.84
Pavarde80      Vardas80           4.87
Pavarde801     Vardas801          4.07
Pavarde802     Vardas802          4.67
Pavarde804     Vardas804          3.96
Pavarde805     Vardas805          4.12
Pavarde806     Vardas806          2.89
Pavarde807     Vardas807          4.67
Pavarde81      Vardas81           4.77
Pavarde810     Vardas810          2.57
Pavarde811     Vardas811          4.23
Pavarde814     Vardas814          2.79
Pavarde815     Vardas815          4.96
Pavarde816     Vardas816          3.83
Pavarde817     Vardas817          4.44
Pavarde82      Vardas82           2.84
Pavarde820     Vardas820          4.45
Pavarde821     Vardas821          2.60
Pavarde823     Vardas823          3.76
Pavarde825     Vardas825          3.15
Pavarde826     Vardas826          3.20
Pavarde828     Vardas828          4.83
Pavarde829     Vardas829          2.95
Pavarde83      Vardas83           4.45
Pavarde832     Vardas832          2.84
Pavarde835     Vardas835          4.24
Pavarde836     Vardas836          2.87
Pavarde837     Vardas837          3.63
Pavarde84      Vardas84           4.52
Pavarde843     Vardas843          3.13
Pavarde845     Vardas845          4.43
Pavarde846     Vardas846          3.17
Pavarde851     Vardas851          4.69
Pavarde852     Vardas852          3.55
Pavarde853     Vardas853          3.47
Pavarde855     Vardas855          4.95
Pavarde858     Vardas858          3.25
Pavarde862     Vardas862          2.47
Pavarde863     Vardas863          3.60
Pavarde866     Vardas866          4.23
Pavarde87      Vardas87           3.09
Pavarde870     Vardas870          2.28
Pavarde871     Vardas871          3.00
Pavarde872     Vardas872          3.03
Pavarde873     Vardas873          2.65
Pavarde875     Vardas875          3.39
Pavarde876     Vardas876          4.88
Pavarde879     Vardas879          3.12
Pavarde88      Vardas88           3.07
Pavarde881     Vardas881          2.55
Pavarde883     Vardas883          4.04
Pavarde884     Vardas884          4.37
Pavarde886     Vardas886          4.97
Pavarde889     Vardas889          4.32
Pavarde89      Vardas89           3.03
Pavarde890     Vardas890          3.83
Pavarde891     Vardas891          3.11
Pavarde893     Vardas893          3.99
Pavarde894     Vardas894          4.07
Pavarde90      Vardas90           3.31
Pavarde901     Vardas901          4.16
Pavarde902     Vardas902          4.69
Pavarde903     Vardas903          3.61
Pavarde906     Vardas906          4.67
Pavarde907     Vardas907          4.16
Pavarde91      Vardas91           3.27
Pavarde911     Vardas911          3.68
Pavarde912     Vardas912          4.97
Pavarde913     Vardas913          4.05
Pavarde918     Vardas918          2.28
Pavarde919     Vardas919          2.80
Pavarde920     Vardas920          4.65
Pavarde923     Vardas923          3.57
Pavarde928     Vardas928          4.32
Pavarde931     Vardas931          3.49
Pavarde932     Vardas932          4.92
Pavarde935     Vardas935          2.28
Pavarde939     Vardas939          4.57
Pavarde94      Vardas94           3.99
Pavarde940     Vardas940          3.12
Pavarde941     Vardas941          3.52
Pavarde942     Vardas942          3.63
Pavarde945     Vardas945          3.08
Pavarde947     Vardas947          4.75
Pavarde949     Vardas949          2.52
Pavarde95      Vardas95           4.87
Pavarde950     Vardas950          4.09
Pavarde951     Vardas951          4.64
Pavarde955     Vardas955          4.63
Pavarde96      Vardas96           3.67
Pavarde962     Vardas962          2.73
Pavarde965     Vardas965          2.36
Pavarde969     Vardas969          2.44
Pavarde97      Vardas97           2.71
Pavarde972     Vardas972          4.24
Pavarde975     Vardas975          3.41
Pavarde979     Vardas979          4.77
Pavarde98      Vardas98           3.88
Pavarde980     Vardas980          4.04
Pavarde981     Vardas981          4.31
Pavarde986     Vardas986          4.16
Pavarde987     Vardas987          4.64
Pavarde988     Vardas988          4.12
Pavarde99      Vardas99           2.73
Pavarde991     Vardas991          3.83
Pavarde992     Vardas992          3.05
Pavarde993     Vardas993          4.36
Pavarde994     Vardas994          2.76
Pavarde996     Vardas996          4.25
Pavarde998     Vardas998          3.52
Pavarde999     Vardas999          3.69
