Vardas         Pavarde        Galurinis (Med.)
Kairys         Andrius            6.60
Kairys         Andrius            2.20
Kairys         Andrius            7.60
Kairys         Arnas              6.80
Kairys         Dominykas          6.40
Kairys         Dominykas          3.80
Kairys         Dominykas          5.20
Kairys         Dovydas            5.20
Kairys         Ignas              8.00
Kairys         Jonas              6.40
Kairys         Jonas              7.60
Kairys         Kajus              8.00
Kairys         Kajus              6.40
Kairys         Kajus              7.00
Kairys         Kajus              3.60
Kairys         Laurynas           5.60
Kairys         Laurynas           8.80
Kairys         Laurynas           6.20
Kairys         Laurynas           8.20
Kairys         Lukas              5.20
Kairys         Lukas              6.00
Kairys         Lukas              5.40
Kairys         Lukas              4.20
Kairys         Mantas             7.80
Kairys         Mantas             8.00
Kairys         Mantas             3.40
Kairys         Martynas           6.20
Kairys         Martynas           6.60
Kairys         Martynas           2.80
Kairys         Martynas           5.80
Kairys         Martynas           5.60
Kairys         Nojus              4.40
Kairys         Paulius            3.60
Kairys         Paulius            3.80
Kairys         Rokas              6.20
Kairys         Rokas              8.40
Kairys         Rokas              6.40
Kairys         Rokas              5.40
Kairys         Titas              5.80
Kairys         Titas              8.80
Kairys         Titas              5.40
Kairys         Titas              8.60
Kairys         Titas              8.80
Kairys         Tomas              8.40
Kairys         Vilius             5.40
Kairys         Vilius             1.80
Kairys         Vilius             7.00
Kairys         Vilius             5.20
Kairys         Vilius             6.80
Kairys         Vilius             6.00
Kavaliauskas   Adomas             6.20
Kavaliauskas   Adomas             6.80
Kavaliauskas   Andrius            4.40
Kavaliauskas   Andrius            5.00
Kavaliauskas   Andrius            5.40
Kavaliauskas   Arnas              7.40
Kavaliauskas   Deividas           7.00
Kavaliauskas   Deividas           7.60
Kavaliauskas   Deividas           3.80
Kavaliauskas   Deividas           5.80
Kavaliauskas   Dominykas          3.60
Kavaliauskas   Dominykas          3.00
Kavaliauskas   Dominykas          7.20
Kavaliauskas   Dovydas            3.00
Kavaliauskas   Dovydas            7.80
Kavaliauskas   Ignas              9.20
Kavaliauskas   Ignas              6.60
Kavaliauskas   Jonas              3.40
Kavaliauskas   Jonas              3.20
Kavaliauskas   Jonas              7.40
Kavaliauskas   Jonas              5.00
Kavaliauskas   Kajus              2.20
Kavaliauskas   Kajus              4.40
Kavaliauskas   Laurynas           8.80
Kavaliauskas   Laurynas           1.80
Kavaliauskas   Laurynas           4.80
Kavaliauskas   Mantas             5.20
Kavaliauskas   Martynas           3.60
Kavaliauskas   Martynas           1.80
Kavaliauskas   Nojus              4.00
Kavaliauskas   Paulius            7.60
Kavaliauskas   Paulius            6.60
Kavaliauskas   Paulius            7.40
Kavaliauskas   Rokas              4.60
Kavaliauskas   Rokas              3.80
Kavaliauskas   Titas              3.00
Kavaliauskas   Titas              4.40
Kavaliauskas   Tomas              7.20
Kavaliauskas   Vilius             3.00
Kazlauskas     Adomas             8.00
Kazlauskas     Adomas             7.20
Kazlauskas     Andrius            7.20
Kazlauskas     Andrius            6.20
Kazlauskas     Andrius            7.20
Kazlauskas     Andrius            5.20
Kazlauskas     Andrius            4.60
Kazlauskas     Arnas              5.00
Kazlauskas     Benas              2.20
Kazlauskas     Benas              3.00
Kazlauskas     Deividas           4.60
Kazlauskas     Deividas           3.80
Kazlauskas     Deividas           3.00
Kazlauskas     Dominykas          7.20
Kazlauskas     Dominykas          6.00
Kazlauskas     Dominykas          3.80
Kazlauskas     Dovydas            6.80
Kazlauskas     Dovydas            5.20
Kazlauskas     Ignas              5.00
Kazlauskas     Ignas              3.60
Kazlauskas     Ignas              7.20
Kazlauskas     Ignas              7.40
Kazlauskas     Ignas              4.00
Kazlauskas     Jonas              8.60
Kazlauskas     Jonas              6.40
Kazlauskas     Kajus              4.00
Kazlauskas     Kajus              6.00
Kazlauskas     Kajus              3.00
Kazlauskas     Kajus              7.80
Kazlauskas     Kajus              7.60
Kazlauskas     Kajus              3.40
Kazlauskas     Kajus              7.60
Kazlauskas     Laurynas           3.00
Kazlauskas     Laurynas           3.40
Kazlauskas     Lukas              5.80
Kazlauskas     Mantas             8.00
Kazlauskas     Martynas           4.00
Kazlauskas     Martynas           6.20
Kazlauskas     Martynas           7.00
Kazlauskas     Nojus              4.20
Kazlauskas     Nojus              3.40
Kazlauskas     Nojus              5.60
Kazlauskas     Paulius            6.20
Kazlauskas     Paulius            5.60
Kazlauskas     Rokas              1.40
Kazlauskas     Titas              6.40
Kazlauskas     Titas              5.40
Kazlauskas     Titas              6.40
Kazlauskas     Tomas              8.40
Kazlauskas     Tomas              7.60
Kazlauskas     Vilius             7.20
Mažeika        Adomas             4.40
Mažeika        Arnas              2.60
Mažeika        Arnas              1.80
Mažeika        Arnas              6.60
Mažeika        Arnas              8.80
Mažeika        Benas              5.20
Mažeika        Benas              8.20
Mažeika        Deividas           7.80
Mažeika        Deividas           7.20
Mažeika        Deividas           5.80
Mažeika        Deividas           2.60
Mažeika        Dominykas          6.00
Mažeika        Dominykas          6.00
Mažeika        Dominykas          5.00
Mažeika        Dovydas            8.60
Mažeika        Dovydas            2.60
Mažeika        Dovydas            7.40
Mažeika        Dovydas            2.60
Mažeika        Ignas              3.20
Mažeika        Ignas              3.80
Mažeika        Ignas              3.80
Mažeika        Jonas              2.60
Mažeika        Jonas              6.60
Mažeika        Jonas              3.40
Mažeika        Jonas              7.20
Mažeika        Kajus              8.80
Mažeika        Laurynas           5.00
Mažeika        Laurynas           8.00
Mažeika        Laurynas           7.80
Mažeika        Lukas              7.40
Mažeika        Lukas              4.00
Mažeika        Mantas             6.40
Mažeika        Mantas             7.60
Mažeika        Martynas           8.80
Mažeika        Martynas           5.20
Mažeika        Nojus              4.80
Mažeika        Nojus              5.80
Mažeika        Nojus              5.20
Mažeika        Paulius            6.20
Mažeika        Paulius            7.60
Mažeika        Paulius            3.60
Mažeika        Rokas              7.40
Mažeika        Rokas              4.80
Mažeika        Titas              4.80
Mažeika        Titas              7.00
Mažeika        Tomas              7.60
Mažeika        Vilius             7.60
Mikalauskas    Adomas             8.20
Mikalauskas    Andrius            8.20
Mikalauskas    Arnas              5.20
Mikalauskas    Arnas              7.40
Mikalauskas    Benas              6.60
Mikalauskas    Benas              9.60
Mikalauskas    Benas              3.00
Mikalauskas    Deividas           8.00
Mikalauskas    Deividas           2.80
Mikalauskas    Dominykas          6.20
Mikalauskas    Dominykas          6.80
Mikalauskas    Dominykas          4.80
Mikalauskas    Dominykas          8.00
Mikalauskas    Dominykas          8.00
Mikalauskas    Dovydas            5.60
Mikalauskas    Dovydas            5.00
Mikalauskas    Dovydas            5.00
Mikalauskas    Ignas              5.60
Mikalauskas    Ignas              8.40
Mikalauskas    Ignas              4.00
Mikalauskas    Ignas              2.20
Mikalauskas    Jonas              7.00
Mikalauskas    Jonas              4.00
Mikalauskas    Kajus              5.40
Mikalauskas    Kajus              5.60
Mikalauskas    Kajus              6.40
Mikalauskas    Kajus              3.40
Mikalauskas    Laurynas           5.20
Mikalauskas    Laurynas           7.00
Mikalauskas    Laurynas           3.60
Mikalauskas    Lukas              5.40
Mikalauskas    Lukas              7.20
Mikalauskas    Lukas              4.80
Mikalauskas    Lukas              5.40
Mikalauskas    Lukas              8.00
Mikalauskas    Mantas             4.80
Mikalauskas    Mantas             4.60
Mikalauskas    Mantas             4.60
Mikalauskas    Martynas           3.60
Mikalauskas    Martynas           4.00
Mikalauskas    Martynas           5.60
Mikalauskas    Martynas           6.20
Mikalauskas    Nojus              8.40
Mikalauskas    Paulius            3.40
Mikalauskas    Paulius            6.80
Mikalauskas    Paulius            7.20
Mikalauskas    Rokas              7.80
Mikalauskas    Rokas              4.80
Mikalauskas    Tomas              3.40
Mikalauskas    Tomas              6.00
Mikalauskas    Tomas              3.60
Mikalauskas    Vilius             3.20
Mikalauskas    Vilius             3.80
Mikalauskas    Vilius             4.80
Mikalauskas    Vilius             4.40
Mikalauskas    Vilius             7.60
Noreika        Adomas             6.00
Noreika        Andrius            2.80
Noreika        Andrius            7.60
Noreika        Andrius            2.00
Noreika        Andrius            5.40
Noreika        Arnas              3.80
Noreika        Arnas              7.60
Noreika        Arnas              3.40
Noreika        Benas              8.40
Noreika        Benas              5.20
Noreika        Benas              4.20
Noreika        Deividas           6.40
Noreika        Deividas           7.60
Noreika        Deividas           8.20
Noreika        Dominykas          6.20
Noreika        Dovydas            4.00
Noreika        Ignas              8.40
Noreika        Ignas              4.60
Noreika        Jonas              5.20
Noreika        Jonas              5.60
Noreika        Jonas              3.00
Noreika        Jonas              5.60
Noreika        Kajus              7.20
Noreika        Laurynas           6.00
Noreika        Laurynas           2.60
Noreika        Laurynas           8.80
Noreika        Laurynas           6.00
Noreika        Laurynas           7.00
Noreika        Lukas              5.60
Noreika        Lukas              6.20
Noreika        Mantas             7.00
Noreika        Mantas             3.00
Noreika        Mantas             1.80
Noreika        Nojus              3.40
Noreika        Nojus              4.80
Noreika        Nojus              7.00
Noreika        Nojus              7.60
Noreika        Nojus              7.20
Noreika        Paulius            7.60
Noreika        Rokas              6.80
Noreika        Rokas              4.40
Noreika        Rokas              5.00
Noreika        Titas              3.00
Noreika        Titas              8.20
Noreika        Titas              3.60
Noreika        Tomas              6.00
Noreika        Tomas              5.00
Noreika        Vilius             6.20
Noreika        Vilius             4.20
Paulauskas     Adomas             7.20
Paulauskas     Adomas             7.00
Paulauskas     Adomas             4.00
Paulauskas     Adomas             4.40
Paulauskas     Arnas              3.80
Paulauskas     Arnas              4.40
Paulauskas     Arnas              7.00
Paulauskas     Arnas              8.00
Paulauskas     Benas              6.20
Paulauskas     Benas              7.80
Paulauskas     Dominykas          2.20
Paulauskas     Dominykas          6.20
Paulauskas     Dominykas          3.60
Paulauskas     Dovydas            3.80
Paulauskas     Dovydas            5.00
Paulauskas     Ignas              6.20
Paulauskas     Ignas              9.20
Paulauskas     Ignas              4.20
Paulauskas     Jonas              6.40
Paulauskas     Jonas              8.60
Paulauskas     Jonas              6.00
Paulauskas     Jonas              6.40
Paulauskas     Jonas              8.00
Paulauskas     Kajus              6.80
Paulauskas     Laurynas           3.80
Paulauskas     Laurynas           8.80
Paulauskas     Laurynas           8.20
Paulauskas     Laurynas           3.60
Paulauskas     Lukas              8.20
Paulauskas     Lukas              2.60
Paulauskas     Lukas              8.40
Paulauskas     Lukas              6.40
Paulauskas     Lukas              3.60
Paulauskas     Mantas             6.80
Paulauskas     Martynas           6.60
Paulauskas     Martynas           5.60
Paulauskas     Martynas           6.20
Paulauskas     Nojus              4.60
Paulauskas     Nojus              4.00
Paulauskas     Nojus              2.60
Paulauskas     Paulius            6.60
Paulauskas     Paulius            9.00
Paulauskas     Paulius            4.60
Paulauskas     Rokas              7.60
Paulauskas     Rokas              4.80
Paulauskas     Rokas              7.20
Paulauskas     Rokas              4.00
Paulauskas     Rokas              6.00
Paulauskas     Titas              5.40
Paulauskas     Titas              4.00
Paulauskas     Titas              5.80
Paulauskas     Vilius             5.20
Paulauskas     Vilius             4.60
Paulauskas     Vilius             6.00
Paulauskas     Vilius             7.80
Petrauskas     Adomas             3.80
Petrauskas     Andrius            7.60
Petrauskas     Andrius            3.00
Petrauskas     Arnas              2.40
Petrauskas     Arnas              5.80
Petrauskas     Arnas              8.00
Petrauskas     Benas              5.00
Petrauskas     Benas              7.80
Petrauskas     Deividas           4.80
Petrauskas     Deividas           7.20
Petrauskas     Dominykas          7.00
Petrauskas     Dovydas            6.40
Petrauskas     Dovydas            8.60
Petrauskas     Dovydas            4.20
Petrauskas     Ignas              4.40
Petrauskas     Ignas              3.20
Petrauskas     Jonas              8.00
Petrauskas     Jonas              4.00
Petrauskas     Jonas              2.60
Petrauskas     Kajus              3.20
Petrauskas     Kajus              6.40
Petrauskas     Kajus              7.20
Petrauskas     Laurynas           7.80
Petrauskas     Laurynas           3.60
Petrauskas     Laurynas           6.60
Petrauskas     Lukas              4.00
Petrauskas     Lukas              6.00
Petrauskas     Lukas              7.20
Petrauskas     Lukas              2.60
Petrauskas     Mantas             2.20
Petrauskas     Mantas             2.20
Petrauskas     Mantas             5.60
Petrauskas     Martynas           6.80
Petrauskas     Martynas           6.00
Petrauskas     Nojus              2.60
Petrauskas     Nojus              6.00
Petrauskas     Rokas              5.40
Petrauskas     Titas              3.60
Petrauskas     Tomas              6.20
Petrauskas     Tomas              6.20
Petrauskas     Tomas              3.40
Petrauskas     Vilius             8.40
Petrauskas     Vilius             6.40
Petrauskas     Vilius             7.20
Pocius         Adomas             8.00
Pocius         Adomas             5.20
Pocius         Adomas             4.60
Pocius         Andrius            6.40
Pocius         Andrius            7.20
Pocius         Benas              6.80
Pocius         Benas              3.40
Pocius         Benas              7.40
Pocius         Benas              4.40
Pocius         Deividas           8.00
Pocius         Deividas           2.00
Pocius         Dominykas          1.60
Pocius         Dominykas          2.60
Pocius         Dominykas          5.00
Pocius         Dovydas            7.60
Pocius         Dovydas            5.60
Pocius         Dovydas            6.20
Pocius         Dovydas            3.20
Pocius         Dovydas            8.20
Pocius         Jonas              7.60
Pocius         Jonas              6.00
Pocius         Jonas              8.40
Pocius         Jonas              6.80
Pocius         Kajus              8.80
Pocius         Laurynas           1.80
Pocius         Laurynas           7.40
Pocius         Laurynas           7.00
Pocius         Lukas              3.40
Pocius         Lukas              7.60
Pocius         Mantas             2.60
Pocius         Mantas             4.20
Pocius         Mantas             7.20
Pocius         Mantas             6.60
Pocius         Martynas           4.80
Pocius         Martynas           4.80
Pocius         Nojus              7.20
Pocius         Nojus              4.00
Pocius         Paulius            8.80
Pocius         Paulius            6.60
Pocius         Paulius            4.40
Pocius         Paulius            1.40
Pocius         Paulius            6.20
Pocius         Paulius            5.20
Pocius         Paulius            8.00
Pocius         Rokas              5.40
Pocius         Rokas              6.80
Pocius         Rokas              7.80
Pocius         Rokas              7.60
Pocius         Titas              3.60
Pocius         Titas              2.20
Pocius         Tomas              6.60
Pocius         Tomas              8.60
Pocius         Vilius             7.00
Sadauskas      Adomas             5.60
Sadauskas      Adomas             4.20
Sadauskas      Andrius            3.00
Sadauskas      Andrius            4.00
Sadauskas      Andrius            2.00
Sadauskas      Andrius            6.60
Sadauskas      Arnas              6.60
Sadauskas      Benas              6.00
Sadauskas      Deividas           5.20
Sadauskas      Deividas           7.60
Sadauskas      Deividas           6.00
Sadauskas      Dominykas          6.80
Sadauskas      Dominykas          5.80
Sadauskas      Dominykas          4.20
Sadauskas      Dovydas            4.00
Sadauskas      Ignas              3.00
Sadauskas      Ignas              2.60
Sadauskas      Ignas              2.80
Sadauskas      Jonas              7.80
Sadauskas      Jonas              6.80
Sadauskas      Jonas              7.40
Sadauskas      Jonas              2.60
Sadauskas      Jonas              3.80
Sadauskas      Jonas              3.40
Sadauskas      Kajus              3.40
Sadauskas      Kajus              4.80
Sadauskas      Kajus              2.60
Sadauskas      Laurynas           5.00
Sadauskas      Lukas              3.00
Sadauskas      Lukas              7.80
Sadauskas      Mantas             7.60
Sadauskas      Mantas             3.40
Sadauskas      Mantas             6.40
Sadauskas      Nojus              3.40
Sadauskas      Paulius            8.80
Sadauskas      Tomas              6.20
Sadauskas      Tomas              3.80
Sadauskas      Vilius             9.20
Sadauskas      Vilius             7.40
Stankevičius   Adomas             5.60
Stankevičius   Adomas             2.60
Stankevičius   Adomas             8.80
Stankevičius   Adomas             8.40
Stankevičius   Andrius            7.00
Stankevičius   Andrius            5.40
Stankevičius   Arnas              2.80
Stankevičius   Arnas              6.40
Stankevičius   Benas              5.80
Stankevičius   Benas              3.80
Stankevičius   Deividas           5.40
Stankevičius   Deividas           6.20
Stankevičius   Dominykas          8.00
Stankevičius   Dovydas            8.80
Stankevičius   Ignas              3.80
Stankevičius   Ignas              2.60
Stankevičius   Ignas              8.40
Stankevičius   Jonas              7.40
Stankevičius   Jonas              6.40
Stankevičius   Jonas              4.80
Stankevičius   Laurynas           3.00
Stankevičius   Lukas              4.20
Stankevičius   Mantas             6.80
Stankevičius   Martynas           7.40
Stankevičius   Martynas           3.40
Stankevičius   Martynas           3.60
Stankevičius   Martynas           6.20
Stankevičius   Martynas           7.20
Stankevičius   Nojus              4.40
Stankevičius   Nojus              4.00
Stankevičius   Nojus              4.80
Stankevičius   Paulius            6.80
Stankevičius   Paulius            5.40
Stankevičius   Rokas              7.80
Stankevičius   Titas              5.80
Stankevičius   Titas              6.20
Stankevičius   Titas              3.40
Stankevičius   Titas              5.40
Stankevičius   Titas              3.60
Stankevičius   Tomas              6.60
Stankevičius   Tomas              5.80
Stankevičius   Tomas              5.20
Stankevičius   Vilius             4.00
Stankevičius   Vilius             4.40
Valantinas     Adomas             4.00
Valantinas     Adomas             8.00
Valantinas     Adomas             3.20
Valantinas     Andrius            6.00
Valantinas     Andrius            6.60
Valantinas     Andrius            6.80
Valantinas     Andrius            4.60
Valantinas     Andrius            5.40
Valantinas     Andrius            5.00
Valantinas     Arnas              7.00
Valantinas     Arnas              7.20
Valantinas     Arnas              3.00
Valantinas     Benas              3.60
Valantinas     Benas              4.60
Valantinas     Benas              7.40
Valantinas     Benas              6.00
Valantinas     Deividas           3.60
Valantinas     Dominykas          6.00
Valantinas     Dominykas          3.20
Valantinas     Dominykas          4.00
Valantinas     Dovydas            8.20
Valantinas     Dovydas            7.40
Valantinas     Ignas              2.80
Valantinas     Ignas              5.40
Valantinas     Ignas              7.20
Valantinas     Ignas              2.20
Valantinas     Jonas              4.40
Valantinas     Jonas              5.20
Valantinas     Jonas              3.20
Valantinas     Jonas              4.80
Valantinas     Jonas              3.00
Valantinas     Kajus              6.00
Valantinas     Kajus              7.40
Valantinas     Laurynas           2.60
Valantinas     Laurynas           6.20
Valantinas     Laurynas           7.00
Valantinas     Laurynas           5.60
Valantinas     Laurynas           6.60
Valantinas     Lukas              5.40
Valantinas     Mantas             2.40
Valantinas     Martynas           4.00
Valantinas     Nojus              4.20
Valantinas     Rokas              8.40
Valantinas     Titas              5.20
Valantinas     Vilius             5.60
Valantinas     Vilius             5.60
Valantinas     Vilius             6.40
Valantinas     Vilius             8.00
Vasiliauskas   Adomas             6.20
Vasiliauskas   Adomas             4.80
Vasiliauskas   Andrius            4.80
Vasiliauskas   Andrius            4.00
Vasiliauskas   Arnas              2.80
Vasiliauskas   Arnas              5.00
Vasiliauskas   Arnas              8.80
Vasiliauskas   Arnas              4.00
Vasiliauskas   Deividas           7.00
Vasiliauskas   Deividas           3.20
Vasiliauskas   Deividas           8.60
Vasiliauskas   Deividas           4.80
Vasiliauskas   Dominykas          2.60
Vasiliauskas   Dovydas            5.20
Vasiliauskas   Dovydas            3.60
Vasiliauskas   Dovydas            3.20
Vasiliauskas   Dovydas            5.20
Vasiliauskas   Ignas              8.40
Vasiliauskas   Ignas              8.00
Vasiliauskas   Ignas              4.00
Vasiliauskas   Ignas              3.40
Vasiliauskas   Jonas              5.20
Vasiliauskas   Jonas              6.80
Vasiliauskas   Jonas              6.00
Vasiliauskas   Jonas              4.00
Vasiliauskas   Jonas              7.60
Vasiliauskas   Kajus              4.40
Vasiliauskas   Laurynas           6.20
Vasiliauskas   Laurynas           5.80
Vasiliauskas   Laurynas           6.80
Vasiliauskas   Lukas              6.40
Vasiliauskas   Lukas              7.20
Vasiliauskas   Lukas              2.60
Vasiliauskas   Mantas             5.20
Vasiliauskas   Martynas           3.00
Vasiliauskas   Martynas           6.20
Vasiliauskas   Paulius            9.60
Vasiliauskas   Paulius            6.20
Vasiliauskas   Rokas              5.60
Vasiliauskas   Rokas              8.40
Vasiliauskas   Titas              6.20
Vasiliauskas   Titas              7.60
Vasiliauskas   Tomas              9.20
Vasiliauskas   Tomas              9.00
Vasiliauskas   Tomas              6.40
Čepas          Adomas             6.40
Čepas          Adomas             4.20
Čepas          Adomas             4.00
Čepas          Andrius            5.60
Čepas          Andrius            4.60
Čepas          Andrius            7.00
Čepas          Andrius            2.80
Čepas          Arnas              6.80
Čepas          Arnas              3.20
Čepas          Benas              5.80
Čepas          Benas              7.00
Čepas          Benas              3.00
Čepas          Benas              6.00
Čepas          Deividas           4.60
Čepas          Deividas           3.80
Čepas          Dovydas            8.00
Čepas          Ignas              4.60
Čepas          Ignas              2.40
Čepas          Jonas              8.00
Čepas          Jonas              8.00
Čepas          Kajus              5.00
Čepas          Laurynas           8.00
Čepas          Lukas              3.40
Čepas          Mantas             8.40
Čepas          Mantas             7.60
Čepas          Mantas             6.60
Čepas          Mantas             8.00
Čepas          Martynas           5.00
Čepas          Nojus              3.80
Čepas          Nojus              7.20
Čepas          Paulius            2.60
Čepas          Titas              7.80
Čepas          Titas              4.60
Čepas          Titas              4.60
Čepas          Titas              3.00
Čepas          Vilius             6.20
Čepas          Vilius             4.20
Čepas          Vilius             2.60
Šimkus         Adomas             8.60
Šimkus         Andrius            4.40
Šimkus         Andrius            8.00
Šimkus         Andrius            5.00
Šimkus         Andrius            1.80
Šimkus         Arnas              6.60
Šimkus         Arnas              5.80
Šimkus         Deividas           5.80
Šimkus         Deividas           3.20
Šimkus         Dominykas          6.80
Šimkus         Dominykas          7.60
Šimkus         Dominykas          6.60
Šimkus         Dovydas            7.20
Šimkus         Dovydas            4.20
Šimkus         Dovydas            4.80
Šimkus         Dovydas            6.60
Šimkus         Ignas              6.20
Šimkus         Ignas              5.80
Šimkus         Ignas              5.60
Šimkus         Ignas              5.80
Šimkus         Ignas              5.20
Šimkus         Jonas              3.20
Šimkus         Jonas              6.20
Šimkus         Jonas              6.40
Šimkus         Kajus              3.40
Šimkus         Laurynas           3.60
