Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Giedrius Dapkus 5 8 1 9 5 8 5 4 2 3 2 7 2 5 6 9
Rokas Žukauskas 1 3 1 8 7 9 2 7 7 3 8 7 3 3 9 1
Ignas Vaičiūnas 10 10 2 9 3 7 4 4 3 9 9 5 5 10 9 6
Ignas Sakalauskas 9 3 2 8 9 9 10 10 5 3 6 6 1 8 4 2
Simonas Jasinskas 7 1 2 5 7 5 10 7 2 6 8 3 1 5 2 7
Saulius Sabonis 5 2 9 8 2 1 2 6 8 6 4 7 3 3 9 9
Ernestas Sabonis 4 2 8 5 5 5 9 7 7 3 3 5 4 7 5 1
Justinas Jankauskas 10 7 6 4 5 7 7 4 3 4 5 7 9 4 6 5
Tomas Matulis 6 2 2 5 6 6 5 2 2 2 10 10 7 4 1 9
Vytautas Navickas 6 2 10 9 8 3 1 4 7 3 5 6 2 5 9 5
Andrius Matulis 6 2 7 9 2 9 3 4 3 4 9 4 7 8 9 4
Vilius Petraitis 1 10 2 9 3 6 1 8 3 5 7 8 5 5 2 10
Tomas Butkus 6 1 2 3 4 3 8 5 3 9 7 5 1 1 3 6
Ernestas Matulis 1 3 8 7 1 4 8 3 3 9 6 8 2 9 4 1
Rokas Urbonas 4 1 8 9 9 7 1 5 7 7 7 3 4 2 10 9
Edgaras Navickas 10 9 1 4 3 7 1 8 6 1 1 2 2 6 7 3
Ernestas Sabonis 9 9 4 8 9 10 2 10 2 2 8 9 4 1 5 6
Antanas Kairys 7 3 5 10 7 5 8 2 7 2 6 4 3 6 7 2
Saulius Stankevičius 6 7 4 8 5 6 4 7 5 1 1 10 9 4 2 3
Lukas Stankevičius 4 1 4 1 5 9 8 4 10 3 5 7 8 4 9 3
Gabrielius Rutkauskas 8 5 6 9 9 6 8 6 6 10 1 6 2 4 9 3
Laurynas Rutkauskas 9 8 10 8 10 3 1 9 6 7 6 5 1 6 4 1
Simonas Morkūnas 6 2 9 2 8 2 10 4 8 5 9 10 5 8 2 9
Saulius Urbonas 10 2 7 8 10 2 8 6 10 10 9 4 9 6 4 10
Dominykas Butkus 8 7 2 5 4 1 5 7 6 2 10 2 4 7 1 9
Laurynas Navickas 10 6 8 3 5 5 5 4 8 7 5 1 10 1 2 7
Jonas Butkus 9 1 3 5 3 9 10 4 5 10 4 6 10 7 1 4
Vilius Matulis 9 10 2 5 4 10 6 2 3 10 7 3 5 8 9 10
Rokas Sabonis 5 4 7 7 2 2 3 4 3 2 8 6 5 6 1 5
Giedrius Dapkus 1 1 6 8 7 5 7 7 7 3 7 9 9 2 2 5
Laurynas Balčiūnas 5 10 2 7 5 9 6 8 8 3 10 9 7 8 4 4
Šarūnas Urbonas 6 2 10 7 1 1 4 4 4 1 10 7 4 1 6 7
Justinas Paulauskas 8 6 2 4 4 9 3 5 3 8 3 3 7 10 7 10
Mindaugas Vaitkus 1 2 5 4 6 5 2 8 1 6 4 8 10 8 4 10
Karolis Vaitkus 8 8 7 7 9 4 1 2 8 9 4 10 7 7 1 10
Arvydas Morkūnas 9 1 7 1 10 4 3 1 2 9 6 4 3 9 10 1
Dovydas Kazlauskas 4 7 2 8 7 2 9 6 5 3 9 7 3 4 1 1
Tomas Norkus 10 5 5 3 1 3 10 5 9 8 6 6 3 3 9 4
Justinas Vaičiūnas 2 7 3 2 4 2 7 8 9 7 8 10 4 1 1 1
Vytautas Zelvys 9 8 2 1 4 3 1 3 3 6 2 2 9 8 4 3
Eimantas Petrauskas 2 2 5 3 5 7 9 10 7 10 1 2 2 3 5 5
Martynas Petrauskas 10 4 5 5 10 8 2 7 4 2 5 5 3 6 2 3
Ernestas Bagdonas 3 5 2 2 10 7 5 6 10 3 4 3 7 10 1 10
Eimantas Kairys 8 9 3 1 9 4 6 4 8 10 8 6 7 7 5 1
Simonas Juodka 1 10 9 2 1 6 5 8 10 1 10 1 3 1 7 7
Martynas Pocius 10 1 8 4 6 5 4 5 9 1 7 3 8 1 5 6
Vilius Juodka 9 7 9 4 6 1 10 3 8 10 4 5 5 2 3 2
Paulius Kazlauskas 5 10 2 5 4 3 2 7 7 10 9 9 1 9 5 7
Paulius Morkūnas 1 2 7 6 4 10 4 6 9 2 2 1 7 8 2 10
Ignas Balčiūnas 1 9 9 8 2 1 8 3 1 4 9 5 8 9 8 4
Arnas Jankauskas 5 6 9 2 7 6 2 1 7 3 2 5 1 7 1 5
Ignas Morkūnas 9 1 5 1 8 6 6 2 6 5 1 10 8 6 3 9
Mantas Vaičiūnas 2 1 3 3 3 8 5 1 3 1 2 7 1 1 3 6
Edgaras Morkūnas 1 4 10 9 2 9 7 5 3 4 4 10 8 9 8 9
Mantas Matulis 7 4 5 4 5 7 9 9 4 6 3 4 5 8 6 9
Rokas Kairys 2 3 9 6 3 3 10 3 2 6 9 4 3 6 7 5
Ernestas Matulis 8 4 4 4 6 4 9 4 4 9 9 8 5 5 7 2
Dominykas Žukauskas 1 1 1 2 5 8 1 4 3 1 7 1 6 2 1 7
Giedrius Navickas 6 8 6 6 10 6 2 2 6 2 10 5 8 6 8 7
Eimantas Stankevičius 6 1 1 3 2 5 5 6 2 10 7 10 5 6 7 6
Tomas Vaitkus 6 7 3 7 8 4 10 9 2 6 6 5 3 8 5 7
Dovydas Kazlauskas 9 10 8 4 5 7 1 1 1 5 2 8 7 9 2 3
Simonas Balsys 8 2 5 1 5 2 1 1 7 6 1 8 9 8 7 8
Antanas Juodka 4 9 3 6 4 8 9 9 3 10 1 1 7 4 6 1
Simonas Urbonas 2 9 7 9 2 5 6 8 4 6 8 8 1 1 9 8
Vilius Matulis 10 2 9 4 3 5 7 6 3 8 5 10 6 1 2 2
Justinas Sabonis 3 2 2 6 3 7 1 1 2 3 5 10 9 6 8 3
Saulius Matulis 6 7 10 8 1 5 8 2 4 8 6 2 1 10 8 10
Antanas Petraitis 2 1 5 1 1 7 4 5 2 2 7 7 7 8 2 7
Aurimas Navickas 9 8 9 6 3 8 9 8 4 3 5 4 4 7 1 10
Deividas Pocius 6 8 6 6 3 4 7 8 1 9 5 5 7 8 6 4
Edgaras Balsys 4 5 2 4 3 5 6 1 5 4 3 4 6 8 3 8
Arnas Norkus 1 3 1 1 10 6 1 5 9 3 1 5 4 4 8 10
Arvydas Pocius 9 7 3 7 9 4 5 7 8 3 2 7 8 10 2 7
Karolis Navickas 1 6 7 3 7 1 5 2 6 6 1 10 7 2 8 5
Karolis Butkus 5 1 5 3 9 5 6 10 10 8 10 10 1 7 10 4
Dominykas Žukauskas 3 6 4 8 3 4 2 6 2 2 9 7 2 9 6 3
Šarūnas Pocius 4 4 2 4 6 3 8 8 6 8 8 2 9 8 7 10
Dovydas Norkus 1 10 10 3 1 7 4 8 7 2 5 1 5 3 7 5
Laurynas Jankauskas 10 8 7 1 2 7 4 4 6 4 2 2 8 10 4 10
Eimantas Misevičius 9 8 10 9 7 7 4 2 8 8 9 9 1 8 6 6
Martynas Juodka 10 10 3 6 6 1 2 7 7 1 2 1 10 2 8 5
Saulius Pocius 10 7 3 2 1 2 8 5 1 9 8 3 3 3 4 6
Arvydas Petraitis 6 1 2 1 10 8 9 5 2 9 4 8 9 4 8 5
Ignas Balčiūnas 4 9 6 5 2 5 6 9 9 4 9 7 1 10 8 10
Jonas Balsys 5 1 3 4 1 3 7 1 6 10 9 10 9 3 9 6
Gabrielius Sakalauskas 7 10 8 10 4 3 5 1 10 8 2 10 1 6 10 5
Dominykas Vaitkus 6 3 9 3 5 2 8 7 1 4 7 8 5 6 1 7
Aurimas Vaitkus 6 2 4 2 9 4 6 5 4 7 5 6 4 1 2 5
Ignas Žukauskas 6 8 10 5 9 5 2 3 8 10 7 9 3 9 2 7
Ernestas Rutkauskas 9 5 3 6 6 3 6 3 5 10 5 1 6 7 10 1
Gabrielius Vaitkus 7 8 8 9 10 7 6 2 1 4 1 3 3 10 10 7
Arnas Dapkus 7 4 3 1 2 10 5 7 8 5 7 2 10 8 1 1
Ignas Balčiūnas 10 2 5 9 10 9 5 3 9 8 10 8 2 2 4 2
Tomas Zelvys 1 4 8 2 1 3 3 2 10 2 5 5 7 9 1 7
Edgaras Vaičiūnas 7 8 2 1 5 4 5 1 10 4 1 6 7 4 9 6
Deividas Urbonas 1 6 4 3 4 2 9 5 4 2 2 2 10 4 5 4
Deividas Paulauskas 10 6 8 5 10 3 6 4 8 10 1 5 7 5 6 8
Andrius Petrauskas 3 4 10 9 7 3 6 6 9 8 8 9 2 5 5 1
Ernestas Misevičius 8 3 1 4 1 9 2 3 10 10 10 1 9 3 9 2
Gabrielius Balsys 7 10 6 1 8 4 5 3 10 8 2 9 7 6 2 8
Vilius Petraitis 8 9 7 4 3 9 7 2 9 1 7 7 2 2 4 3
Mantas Jasinskas 4 6 10 1 8 2 3 7 9 7 1 5 10 1 6 8
Eimantas Sakalauskas 1 6 9 3 4 10 6 10 9 9 10 3 10 1 5 7
Dovydas Matulis 10 10 4 4 10 2 8 1 1 2 6 3 4 2 1 5
Ignas Paulauskas 1 7 9 1 2 1 9 8 1 4 9 1 8 3 4 5
Justinas Matulis 1 4 7 3 1 6 9 3 7 2 7 7 8 9 9 7
Jonas Jankauskas 10 7 6 1 6 10 6 6 5 2 2 10 10 2 6 6
Dominykas Morkūnas 2 4 2 4 4 5 9 7 1 8 2 1 5 2 2 1
Tomas Bagdonas 7 7 7 9 3 1 3 5 10 7 8 6 1 2 8 7
Laurynas Sakalauskas 4 2 1 5 7 6 1 3 1 9 5 1 8 1 8 7
Arnas Rutkauskas 4 8 4 4 8 5 8 2 5 1 1 4 8 2 9 1
Deividas Kairys 1 8 8 1 7 9 5 8 4 2 4 1 1 4 6 2
Vytautas Morkūnas 3 7 8 9 8 8 10 6 5 4 2 10 4 8 4 10
Aurimas Butkus 6 4 6 5 6 6 10 9 2 6 8 6 7 3 4 4
Arnas Šimkus 9 1 6 3 5 3 6 5 1 8 6 9 10 3 8 4
Aurimas Urbonas 4 2 1 4 9 6 3 1 9 5 8 6 1 1 6 8
Ernestas Kundrotas 1 9 7 4 5 10 4 8 10 4 10 9 8 6 7 7
Rokas Dapkus 7 6 4 1 10 8 9 1 2 6 6 3 5 6 9 7
Gabrielius Pocius 8 5 2 7 10 7 10 7 1 8 4 1 6 4 5 5
Ignas Rutkauskas 9 5 1 9 8 3 5 6 2 1 6 1 5 9 8 1
Ignas Dapkus 5 10 3 3 7 6 9 6 1 1 1 4 10 8 3 5
Andrius Kairys 9 6 1 6 10 3 9 6 8 10 3 2 9 4 1 4
Ernestas Balčiūnas 10 5 6 6 5 8 1 2 5 2 3 7 2 8 7 9
Giedrius Dapkus 5 10 6 10 7 4 5 1 6 3 6 4 9 2 10 1
Karolis Juodka 3 3 6 3 2 8 7 9 7 7 7 4 5 2 10 9
Deividas Pocius 9 4 2 9 6 4 1 5 5 3 2 3 10 2 10 4
Dominykas Matulis 1 3 9 10 10 5 8 7 1 5 9 5 10 4 10 10
Aurimas Butkus 6 7 3 8 2 7 7 6 9 2 7 3 3 6 5 9
Ignas Bagdonas 9 2 4 4 4 1 6 4 10 4 1 8 10 4 9 4
Aurimas Balsys 5 5 4 2 2 4 7 5 10 1 1 5 1 2 4 7
Gabrielius Balčiūnas 4 4 2 10 5 6 6 10 9 6 10 8 8 9 8 8
Eimantas Sakalauskas 8 9 9 10 10 4 9 8 6 4 4 6 4 3 7 7
Vytautas Kazlauskas 1 3 8 5 6 6 9 4 6 8 6 4 3 7 8 6
Antanas Paulauskas 9 10 9 10 2 9 6 9 2 4 9 9 5 3 4 4
Vilius Dapkus 6 6 8 2 4 3 4 8 2 3 7 4 3 8 7 8
Tomas Stankevičius 8 8 10 3 7 4 8 5 6 7 9 2 6 8 10 3
Dovydas Petrauskas 5 4 5 7 6 9 9 7 2 1 1 8 10 5 6 10
Dominykas Petraitis 2 2 10 9 5 8 8 8 4 5 2 4 7 3 6 3
Antanas Kazlauskas 6 8 6 10 4 4 4 7 6 10 1 10 9 8 1 7
Šarūnas Jankauskas 1 10 1 6 1 1 6 5 7 6 10 3 4 2 9 8
Arvydas Balčiūnas 2 9 4 2 1 9 7 6 3 2 3 8 10 8 5 6
Justinas Vaičiūnas 9 3 6 4 5 3 2 8 2 5 2 3 2 6 6 8
Paulius Juodka 7 6 9 3 4 9 7 10 3 4 3 9 4 6 6 7
Giedrius Žukauskas 10 10 7 6 9 10 6 8 1 5 5 6 5 8 8 2
Mindaugas Misevičius 3 6 5 4 4 10 5 1 5 10 1 8 1 9 5 6
Antanas Jasinskas 7 6 2 9 6 9 9 9 9 2 1 6 6 8 7 7
Dovydas Jasinskas 4 8 1 1 2 2 1 8 4 10 10 2 3 3 2 7
Mindaugas Kairys 8 8 1 9 3 8 1 9 4 4 9 3 2 10 10 5
Dominykas Butkus 3 6 8 7 6 9 8 1 9 10 2 5 7 3 5 7
Dominykas Pocius 2 3 8 2 7 7 8 7 3 9 1 6 4 10 3 9
Dovydas Matulis 1 9 7 7 2 10 1 2 2 4 8 2 4 5 5 1
Antanas Pocius 3 2 7 5 9 2 6 10 5 10 2 4 2 2 9 5
Laurynas Zelvys 4 1 6 2 2 7 3 6 7 8 9 7 9 9 2 4
Arnas Jasinskas 4 8 5 6 5 4 8 7 10 9 6 8 9 3 8 2
Vytautas Kairys 8 9 3 4 10 4 8 2 4 9 8 10 3 6 7 4
Lukas Juodka 2 2 6 6 5 6 10 6 1 9 9 3 9 1 9 6
Mindaugas Butkus 7 9 7 10 2 10 4 4 10 4 2 10 10 3 6 10
Ernestas Morkūnas 3 2 7 1 7 2 3 6 5 8 10 3 8 10 8 2
Aurimas Petrauskas 6 10 10 9 4 5 2 1 5 6 7 2 10 9 1 6
Andrius Matulis 5 1 8 8 8 3 4 8 9 5 8 9 7 4 7 3
Karolis Morkūnas 5 8 6 3 2 10 4 9 3 3 9 3 9 4 2 9
Mindaugas Norkus 3 6 7 9 5 9 2 4 3 3 2 3 9 7 10 3
Rokas Dapkus 5 8 5 9 8 10 10 6 4 4 3 6 5 6 1 10
Eimantas Matulis 1 6 3 3 10 6 6 6 5 5 4 3 4 5 9 3
Andrius Paulauskas 6 8 9 10 6 3 4 6 2 9 8 1 10 2 8 2
Dominykas Kundrotas 2 3 5 1 6 1 5 10 6 7 2 5 6 8 1 6
Lukas Morkūnas 1 2 4 7 6 2 6 1 2 10 5 10 1 1 1 7
Mindaugas Vaitkus 9 10 10 6 4 6 2 4 5 5 7 3 5 8 2 10
Saulius Kazlauskas 4 1 2 2 7 10 3 2 9 5 2 2 5 1 10 7
Laurynas Petrauskas 6 6 1 8 9 10 5 2 4 2 4 4 5 5 1 9
Paulius Vaičiūnas 2 8 10 8 5 3 8 4 7 10 3 1 4 4 10 9
Karolis Zelvys 3 10 9 3 10 10 4 10 10 10 2 7 3 3 1 3
Šarūnas Vaičiūnas 1 9 2 9 2 6 7 9 6 7 6 6 8 5 2 6
Eimantas Pocius 6 8 9 9 10 10 5 1 3 6 2 5 1 7 1 9
Vilius Dapkus 3 10 4 3 2 4 3 3 2 6 6 4 7 1 2 3
Justinas Šimkus 1 9 1 10 1 4 8 6 5 6 10 4 4 7 7 10
Gabrielius Pocius 3 1 4 1 7 9 5 3 3 10 10 3 6 10 7 8
Lukas Juodka 2 7 3 10 8 4 1 7 1 6 2 9 6 7 9 1
Gabrielius Bagdonas 9 5 1 9 6 5 1 8 3 5 4 8 6 8 8 10
Lukas Jasinskas 3 10 2 8 8 8 7 2 7 1 3 8 8 4 9 7
Andrius Sakalauskas 5 8 5 4 1 5 4 3 7 8 2 9 2 1 6 6
Šarūnas Butkus 7 6 3 7 5 10 7 4 8 10 3 9 7 5 4 8
Paulius Stankevičius 4 5 3 10 10 2 3 4 10 4 8 9 7 6 1 9
Vytautas Vaičiūnas 6 8 6 8 4 2 2 2 6 8 1 8 9 4 6 7
Dovydas Zelvys 4 8 5 1 10 4 10 9 5 1 2 6 4 7 9 3
Mantas Kazlauskas 8 8 8 7 4 7 8 7 4 5 9 10 2 3 8 2
Giedrius Paulauskas 4 7 4 9 8 9 8 4 6 1 1 4 10 2 8 9
Laurynas Morkūnas 2 8 2 1 1 6 8 7 6 6 9 5 4 3 1 2
Arnas Dapkus 6 10 8 1 4 9 3 2 6 2 3 3 4 10 3 8
Mantas Juodka 2 10 4 4 2 8 2 2 7 5 1 5 2 4 9 4
Paulius Juodka 9 10 8 5 10 3 3 8 10 2 7 10 7 8 6 9
Deividas Kundrotas 6 3 10 6 6 1 2 4 6 7 9 8 4 6 5 6
Martynas Matulis 8 10 3 4 7 2 7 1 5 9 10 3 1 8 8 3
Aurimas Kazlauskas 7 4 6 7 6 3 1 10 2 2 3 2 9 8 10 5
Jonas Jankauskas 8 3 7 1 5 2 5 5 10 3 3 9 6 2 1 2
Gabrielius Pocius 10 6 4 9 3 7 10 10 4 9 5 9 6 10 8 2
Vytautas Vaičiūnas 5 4 3 2 10 2 4 2 7 3 10 3 9 1 9 6
Dominykas Dapkus 7 7 5 4 10 3 10 6 8 4 9 1 6 7 4 10
Aurimas Navickas 9 5 8 3 10 3 1 1 6 5 9 1 5 9 9 9
Paulius Petraitis 7 7 9 7 6 1 4 1 8 4 8 10 9 8 5 10
Martynas Petrauskas 4 7 7 5 1 3 8 7 9 4 10 6 10 10 2 2
Lukas Kazlauskas 9 9 3 7 4 4 2 10 2 9 4 5 1 7 7 3
Ignas Stankevičius 10 1 9 9 1 3 1 6 8 2 8 5 6 8 3 2
Vilius Sakalauskas 7 2 3 7 7 9 8 7 1 5 6 4 5 8 9 9
Saulius Matulis 8 6 7 2 3 1 8 5 3 7 2 3 2 1 5 9
Dovydas Petraitis 9 4 10 6 9 10 8 8 2 2 7 4 4 7 4 3
Eimantas Jankauskas 9 2 7 1 8 3 8 1 7 5 4 10 8 9 5 9
Mindaugas Misevičius 6 9 10 9 5 3 1 10 5 7 7 4 8 1 9 2
Giedrius Matulis 7 9 10 9 2 6 3 6 10 3 2 3 5 2 6 1
Mantas Balsys 6 7 3 1 8 4 3 3 7 4 4 2 1 8 6 7
Mantas Norkus 9 6 8 9 10 2 4 6 7 7 2 6 1 7 6 2
Laurynas Stankevičius 1 4 9 9 5 4 10 3 3 9 3 9 1 5 1 4
Edgaras Norkus 8 9 8 5 10 8 9 6 10 1 8 8 6 3 4 10
Deividas Žukauskas 2 7 8 9 5 8 5 6 4 1 10 9 2 7 3 6
Laurynas Stankevičius 8 3 4 3 9 5 2 3 5 3 4 1 7 2 10 4
Mantas Balsys 5 10 3 6 10 1 5 6 7 3 2 6 3 3 3 8
Rokas Butkus 3 5 9 8 10 7 8 5 2 6 3 10 3 4 3 6
Arnas Petraitis 8 1 10 5 7 5 10 1 7 8 10 6 10 6 9 10
Vilius Butkus 6 9 9 10 2 4 1 6 3 8 1 3 5 5 7 3
Šarūnas Petrauskas 5 4 7 2 5 8 8 1 5 7 2 8 1 3 4 3
Mantas Vaitkus 4 6 7 3 9 6 1 4 7 4 5 10 6 5 2 4
Mantas Šimkus 8 8 3 9 6 4 8 2 7 7 8 2 3 1 7 6
Saulius Žukauskas 7 2 8 3 3 1 8 4 8 5 10 2 4 7 4 10
Arnas Pocius 6 2 7 8 4 9 3 7 3 1 8 8 9 4 10 5
Justinas Bagdonas 10 5 10 9 3 8 9 9 4 3 8 5 7 1 6 7
Giedrius Kazlauskas 5 2 9 5 5 5 4 8 3 6 2 3 10 9 4 4
Ernestas Petraitis 9 2 6 8 10 4 10 3 5 8 5 8 4 1 6 8
Martynas Sabonis 3 5 2 2 8 9 5 6 10 9 7 9 5 7 7 5
Arvydas Stankevičius 2 6 7 10 4 10 2 2 9 8 5 3 5 2 8 7
Ernestas Petraitis 2 4 6 4 9 2 8 7 1 4 8 5 5 6 7 5
Deividas Misevičius 5 9 1 1 4 8 9 4 6 2 10 6 3 1 6 4
Gabrielius Norkus 1 3 1 1 5 5 1 9 6 6 3 1 4 2 2 9
Eimantas Šimkus 3 5 7 3 9 10 9 9 5 9 1 2 7 9 6 8
Vilius Petrauskas 5 3 4 9 3 9 6 6 8 3 1 1 6 2 7 2
Justinas Balsys 1 9 1 4 4 10 1 3 5 5 7 3 4 8 9 3
Edgaras Kundrotas 4 6 8 9 7 6 2 5 3 5 8 8 10 10 2 9
Aurimas Kazlauskas 4 7 5 1 2 3 5 5 7 1 5 5 1 10 2 4
Rokas Balsys 8 1 5 4 2 10 3 3 8 8 8 4 2 5 10 4
Andrius Petraitis 2 5 8 8 2 5 4 2 6 10 6 4 6 10 8 2
Ignas Paulauskas 8 4 10 4 10 1 2 3 1 7 9 5 10 8 9 7
Lukas Navickas 1 10 10 6 1 3 3 8 7 6 8 5 1 4 3 10
Vytautas Juodka 9 5 8 4 1 8 5 7 9 1 5 1 9 4 8 9
Šarūnas Petrauskas 3 7 7 8 5 4 10 2 10 8 1 4 5 10 2 7
Dominykas Petraitis 3 7 9 9 3 10 8 2 8 10 9 7 1 7 1 4
Saulius Pocius 4 10 7 9 6 6 3 6 7 3 10 6 4 4 8 3
Šarūnas Pocius 8 5 5 2 9 5 9 6 3 6 7 1 3 4 5 2
Tomas Jasinskas 6 8 2 6 8 8 5 1 8 5 2 3 5 8 6 9
Justinas Misevičius 2 4 8 9 8 10 6 7 1 9 4 2 3 8 10 10
Tomas Sabonis 4 9 5 8 3 8 4 10 7 10 4 1 3 10 7 6
Vilius Vaičiūnas 1 5 3 6 10 10 3 3 9 9 7 8 8 9 3 9
Ignas Sakalauskas 5 7 1 9 1 6 5 1 6 6 4 5 9 4 5 6
Gabrielius Dapkus 8 8 9 2 2 1 7 7 6 7 4 5 9 1 4 5
Paulius Butkus 8 1 3 2 8 4 2 10 5 10 7 5 3 10 8 6
Arnas Bagdonas 7 7 6 6 10 8 5 6 7 9 9 10 1 8 3 10
Vilius Rutkauskas 5 2 1 6 7 7 3 8 4 10 5 3 6 2 9 4
Lukas Navickas 5 1 9 9 7 10 8 5 7 8 6 4 7 7 5 6
Šarūnas Dapkus 4 10 10 8 5 1 2 2 4 5 7 2 7 6 1 3
Karolis Urbonas 5 10 2 5 7 9 7 5 6 2 7 2 3 5 2 1
Vytautas Zelvys 2 9 10 7 8 2 2 6 10 9 9 8 4 6 4 10
Mindaugas Stankevičius 8 9 6 2 6 9 8 5 2 9 8 1 2 2 8 4
Eimantas Petrauskas 8 10 8 9 2 4 7 4 7 6 3 1 8 8 6 3
Mantas Butkus 6 9 7 2 7 9 7 9 9 3 6 6 9 4 9 9
Dominykas Sabonis 2 1 1 8 9 6 10 7 5 1 4 10 10 3 1 9
Dominykas Norkus 1 2 8 5 5 9 5 3 1 4 7 6 7 1 5 7
Edgaras Vaičiūnas 7 7 9 9 3 5 6 3 10 5 10 1 7 3 7 9
Justinas Jankauskas 6 4 9 5 4 5 1 3 6 7 5 7 10 2 8 3
Jonas Sakalauskas 9 3 6 9 4 4 10 8 8 5 8 6 5 6 6 7
Edgaras Vaičiūnas 3 1 10 5 2 3 5 10 1 7 1 9 3 9 5 3
Lukas Vaičiūnas 4 5 9 5 6 9 4 4 2 1 2 2 8 4 8 10
Mantas Balsys 9 8 7 6 9 1 8 8 8 4 2 8 6 10 1 6
Aurimas Butkus 9 6 6 9 9 1 1 7 9 3 10 10 8 5 5 5
Edgaras Balsys 7 3 1 2 6 2 4 9 5 8 10 2 5 3 3 2
Ernestas Sabonis 1 8 1 3 9 9 9 4 1 3 8 9 2 2 4 4
Lukas Kazlauskas 10 2 5 8 8 5 4 5 7 5 5 5 2 4 10 6
Laurynas Rutkauskas 3 4 4 2 4 4 4 6 7 9 7 6 4 3 1 6
Vilius Morkūnas 2 9 1 7 9 4 9 2 6 9 5 1 8 5 7 1
Lukas Stankevičius 1 9 8 4 10 5 3 3 2 10 5 5 8 7 1 7
Giedrius Jasinskas 7 2 3 1 7 1 7 10 8 4 5 1 7 2 7 6
Giedrius Vaitkus 10 9 8 1 8 4 1 2 10 8 7 10 6 2 2 8
